Id;Edad;Educacion;empleo_años;Ingresos;debito;otra_tarjeta;ratio_tarjeta
639;30;1;11;33;0.682;2.09;8.4
640;49;2;22;79;0.288;5.479;7.3
641;36;1;1;16;0.433;1.055;9.3
642;24;2;3;19;0.359;0.458;4.3
643;42;5;6;190;3.157;11.663;7.8
644;28;2;0;30;0.121;1.319;4.8
645;52;2;12;76;0.995;4.857;7.7
646;39;2;9;56;4.765;5.707;18.7
647;40;2;15;138;1.222;4.436;4.1
648;29;2;0;22;1.039;1.799;12.9
649;40;1;8;28;0.534;0.474;3.6
650;27;1;10;34;0.851;1.359;6.5
651;24;3;2;16;0.27;0.754;6.4
652;26;2;5;28;1.024;1.16;7.8
653;40;3;16;116;1.614;12.422;12.1
654;50;2;16;71;1.663;6.218;11.1
655;30;1;0;20;0.622;0.458;5.4
656;26;2;6;30;0.144;0.156;1
657;35;1;10;28;0.11;0.254;1.3
658;37;3;16;50;7.32;10.98;36.6
659;52;5;9;70;1.329;5.251;9.4
660;24;1;5;46;0.53;1.218;3.8
661;28;1;3;26;0.432;2.168;10
662;29;2;6;57;0.453;0.801;2.2
663;35;1;11;77;1.1;2.519;4.7
664;54;1;18;114;3.295;6.395;8.5
665;32;1;10;32;1.168;2.448;11.3
666;32;1;11;53;0.089;1.66;3.3
667;36;1;14;81;1.785;4.047;7.2
668;31;1;12;24;0.442;1.142;6.6
669;28;1;11;24;0.107;0.469;2.4
670;34;1;10;33;2.502;0.897;10.3
671;53;4;7;61;1.875;2.944;7.9
672;50;1;8;47;0.399;2.844;6.9
673;52;4;13;234;7.387;10.631;7.7
674;30;2;4;15;0.35;0.625;6.5
675;26;2;0;28;1.271;1.333;9.3
676;42;2;21;121;1.365;2.386;3.1
677;27;1;6;43;0.883;1.224;4.9
678;41;1;14;52;0.926;2.87;7.3
679;27;1;10;31;1.362;4.001;17.3
680;32;1;12;33;0.795;2.901;11.2
681;37;1;12;44;2.995;3.473;14.7
682;29;1;3;17;0.47;1.06;9
683;27;1;9;45;2.852;5.158;17.8
684;50;3;25;94;1.734;3.248;5.3
685;21;3;0;24;0.833;1.015;7.7
686;41;4;14;44;0.353;0.395;1.7
687;23;2;1;18;0.885;2.481;18.7
688;45;2;9;69;0.707;3.916;6.7
689;45;2;2;29;0.443;1.123;5.4
690;33;1;6;21;0.567;1.008;7.5
691;21;1;1;16;0.141;0.867;6.3
692;40;1;6;36;0.391;0.365;2.1
693;40;2;3;28;0.553;2.107;9.5
694;56;1;11;59;4.673;4.177;15
695;26;1;2;22;0.237;1.171;6.4
696;29;1;6;46;1.17;1.314;5.4
697;29;2;6;65;1.985;9.975;18.4
698;39;1;13;27;0.966;1.194;8
699;27;2;1;23;0.285;2.567;12.4
700;25;1;1;15;0.371;1.339;11.4
701;36;5;5;20;0.729;0.891;8.1
702;35;1;7;39;1.702;4.577;16.1
703;25;2;4;33;0.553;1.163;5.2
704;21;2;2;20;0.291;0.609;4.5
705;23;1;2;16;0.805;0.731;9.6
706;32;1;14;73;3.752;2.672;8.8
707;34;1;0;20;2.049;1.371;17.1
708;38;1;5;20;0.091;0.208;1.5
709;39;1;22;73;3.727;6.712;14.3
710;46;1;1;21;1.377;1.731;14.8
711;35;2;10;98;4.875;8.159;13.3
712;33;4;9;28;0.377;0.827;4.3
713;30;2;12;68;2.857;10.811;20.1
714;54;3;21;118;9.6;7.392;14.4
715;42;2;5;41;0.355;1.039;3.4
716;28;1;9;22;5.283;0.811;27.7
717;35;1;9;34;0.398;1.302;5
718;41;3;16;135;1.277;4.663;4.4
719;41;1;16;49;0.431;0.353;1.6
720;53;4;5;78;6.936;6.558;17.3
721;28;1;4;26;1.295;2.215;13.5
722;35;1;5;32;0.175;3.985;13
723;42;1;7;25;1.629;0.921;10.2
724;33;1;11;35;0.506;5.059;15.9
725;27;3;0;50;1.044;6.306;14.7
726;48;2;30;148;3.975;6.681;7.2
727;33;1;2;44;0.525;0.839;3.1
728;37;1;6;31;1.701;1.926;11.7
729;31;1;5;23;0.046;0.414;2
730;35;3;10;39;1.602;2.454;10.4
731;48;2;6;66;2.316;5.67;12.1
732;34;1;16;75;3.955;3.845;10.4
733;23;2;2;48;0.511;3.089;7.5
734;41;2;8;43;0.086;0.215;0.7
735;52;1;33;139;2.288;5.496;5.6
736;39;1;6;61;0.563;2.914;5.7
737;46;1;1;20;0.809;1.991;14
738;33;2;4;55;2.16;1.69;7
739;34;3;2;39;1.143;4.005;13.2
740;34;3;12;47;1.301;1.848;6.7
741;40;1;9;33;4.881;0.729;17
742;45;3;16;80;0.912;1.488;3
743;25;1;1;19;0.19;1.121;6.9
744;31;2;6;32;3.341;4.051;23.1
745;34;4;7;40;0.95;1.61;6.4
746;45;1;23;50;0.559;1.541;4.2
747;44;2;17;129;0.551;2.674;2.5
748;35;1;13;42;0.769;6.623;17.6
749;22;2;0;14;0.242;2.152;17.1
750;26;3;3;40;1.896;2.424;10.8
751;38;1;6;18;0.131;2.209;13
752;27;1;7;26;0.641;1.725;9.1
753;29;1;11;36;0.709;1.487;6.1
754;29;2;5;28;2.126;3.11;18.7
755;22;1;4;24;1.636;2.108;15.6
756;47;1;4;26;0.122;2.582;10.4
757;27;2;5;25;0.706;0.995;6.8
758;24;1;2;18;0.528;0.552;6
759;52;1;17;73;1.054;5.297;8.7
760;26;1;3;29;2.527;4.926;25.7
761;40;1;22;100;5.402;9.198;14.6
762;33;2;12;58;3.084;7.588;18.4
763;30;1;0;17;0.304;1.736;12
764;39;2;16;69;1.061;0.595;2.4
765;24;2;0;16;0.025;1.143;7.3
766;27;4;0;70;1.618;3.982;8
767;38;2;7;64;0.651;1.269;3
768;36;1;9;40;1.976;1.944;9.8
769;39;1;4;33;0.397;1.913;7
770;43;1;13;76;2.151;2.485;6.1
771;24;1;8;17;0.569;0.383;5.6
772;21;1;5;25;0.367;1.883;9
773;26;2;2;24;1.577;1.687;13.6
774;43;1;11;37;0.18;0.301;1.3
775;36;3;11;44;0.446;6.022;14.7
776;43;1;15;62;0.694;5.134;9.4
777;35;2;11;62;9.703;10.385;32.4
778;34;2;10;33;0.574;2.561;9.5
779;47;2;17;41;0.456;3.439;9.5
780;48;1;0;30;2.663;4.027;22.3
781;29;2;9;46;0.241;0.495;1.6
782;36;1;7;43;1.04;1.626;6.2
783;35;1;10;39;0.218;2.005;5.7
784;39;1;13;38;1.897;1.485;8.9
785;41;1;21;76;6.949;8.631;20.5
786;29;3;1;30;0.279;1.071;4.5
787;39;2;18;44;0.368;0.556;2.1
788;33;1;12;32;2.105;1.511;11.3
789;33;2;8;27;1.646;1;9.8
790;39;1;0;39;1.066;2.015;7.9
791;40;2;8;57;0.878;2.314;5.6
792;53;1;33;324;7.053;15.627;7
793;34;1;15;67;3.741;5.103;13.2
794;29;3;7;84;6.912;4.512;13.6
795;30;1;0;17;0.447;0.182;3.7
796;38;3;3;25;0.312;0.613;3.7
797;25;4;0;24;1.597;1.307;12.1
798;26;2;6;35;0.086;0.579;1.9
799;25;2;5;35;1.969;3.806;16.5
800;29;1;8;24;0.47;1.138;6.7
801;28;1;5;22;0.14;0.476;2.8
802;48;1;30;101;1.875;4.589;6.4
803;26;1;0;14;0.302;0.748;7.5
804;36;1;4;23;1.327;2.422;16.3
805;30;1;12;38;0.171;3.059;8.5
806;41;1;1;19;0.242;0.594;4.4
807;34;3;13;52;1.497;3.287;9.2
808;25;3;3;54;1.163;2.833;7.4
809;45;1;17;62;2.437;6.863;15
810;22;1;4;19;1.887;2.502;23.1
811;32;1;13;25;0.596;1.279;7.5
812;21;2;1;17;0.555;1.23;10.5
813;34;1;6;20;0.042;0.198;1.2
814;31;1;10;49;3.237;1.565;9.8
815;33;1;7;22;0.631;0.777;6.4
816;40;2;2;36;0.278;1.09;3.8
817;36;2;6;27;0.262;0.98;4.6
818;30;2;2;26;0.249;0.739;3.8
819;35;2;0;35;2.383;1.957;12.4
820;36;1;7;40;1.695;2.265;9.9
821;37;1;4;24;0.419;2.989;14.2
822;32;1;16;38;0.694;7.286;21
823;45;1;3;20;0.105;0.315;2.1
824;27;4;0;25;1.419;1.756;12.7
825;41;2;4;26;1.473;3.519;19.2
826;32;2;12;116;4.027;2.585;5.7
827;48;1;13;50;6.114;9.286;30.8
828;50;1;1;26;1.852;1.866;14.3
829;45;3;0;22;0.03;0.894;4.2
830;33;2;2;37;0.834;0.831;4.5
831;33;1;13;52;2.714;8.362;21.3
832;27;2;8;18;0.401;1.741;11.9
833;36;2;7;43;2.649;3.973;15.4
834;30;4;7;30;0.264;4.446;15.7
835;28;2;3;36;0.384;2.712;8.6
836;21;3;0;41;2.367;5.628;19.5
837;23;2;3;24;0.552;0.96;6.3
838;23;1;7;22;0.849;2.319;14.4
839;26;1;10;25;1.306;0.469;7.1
840;31;1;8;22;0.37;1.104;6.7
841;38;3;13;25;0.343;1.082;5.7
842;29;3;7;63;0.572;2.893;5.5
843;32;1;14;36;0.273;0.591;2.4
844;32;2;8;45;0.982;0.683;3.7
845;41;1;7;43;0.694;1.198;4.4
846;27;1;5;26;0.548;1.22;6.8
847;28;2;7;34;0.359;2.021;7
848;25;4;0;18;2.802;3.21;33.4
849;32;1;12;28;0.116;0.696;2.9
850;52;1;16;64;1.866;3.638;8.6
