Nro_Veces_cob;Nro_Cuotas;Mes_pres;MES_0_Atraso;MES_1_Atraso;MES_2_Atraso;Llamada_fecha;Hora;Llamada_Resultado;Deuda_total;Activación;Mora
<=10;>48;Febrero;388.94;778.56;391.73;26/02/2014;10;MCT  Msj Con Terceros;9959.22;2013;0
<=10;<24, 48];Febrero;1685.71;0;0;12/02/2014;13;MCO  Msj Con Conyuge;6835.9;2011;1
>10;<24, 48];Febrero;280.95;561.91;844.71;12/02/2014;13;TELF. NO CORRESPONDE;1143.09;2011;1
<=10;<=24;Febrero;785.69;0;0;25/02/2014;17;MCT  Msj Con Terceros;2472.38;2013;1
<=10;>48;Febrero;298.04;600.27;904.37;6/02/2014;12;MCT  Msj Con Terceros;6663.85;2013;0
<=10;<=24;Febrero;1550.37;0;0;19/02/2014;18;MCT  Msj Con Terceros;9626.47;2013;1
>10;<24, 48];Febrero;238.05;238.38;238.58;11/02/2014;8;TAT  Tratamiento al Titu;2815.51;2012;0
<=10;<=24;Febrero;783.79;0;0;5/02/2014;7;PDP  Promesa De Pago;2598.72;2013;0
<=10;<24, 48];Febrero;509.29;510.68;0;19/02/2014;14;TAT sin contacto con Titular;8943.32;2011;0
>10;<24, 48];Febrero;716.05;1077.37;1440.82;28/02/2014;8;TELF. NO CORRESPONDE;5834.37;2011;1
<=10;<=24;Febrero;111.29;135.1;0;12/02/2014;11;MCT  Msj Con Terceros;592.41;2012;0
<=10;<24, 48];Febrero;774;0;0;13/02/2014;19;MCT  Msj Con Terceros;5154.18;2013;1
<=10;<24, 48];Febrero;109.24;0;0;4/02/2014;12;TAT  Tratamiento al Titu;1446.9;2012;0
<=10;<=24;Febrero;685.67;0;924.49;19/02/2014;13;PDP  Promesa De Pago;9226.99;2012;0
<=10;<24, 48];Febrero;3102.23;0;0;3/02/2014;20;MCT  Msj Con Terceros;24969.1;2012;1
<=10;>48;Febrero;355.97;719.41;1085.72;26/02/2014;15;MCT  Msj Con Terceros;9184.48;2013;0
<=10;<=24;Febrero;295.02;302.3;298.38;10/02/2014;18;MCT  Msj Con Terceros;1161.92;2013;0
>10;<24, 48];Febrero;26.38;126.71;247.25;20/02/2014;10;PDP  Promesa De Pago;2381.27;2011;0
<=10;<24, 48];Febrero;185.35;171.05;157.41;17/02/2014;14;MCF  Msj Con Familiar;3131.35;2013;0
>10;<24, 48];Febrero;516.65;777.38;1040.63;10/02/2014;11;MCF  Msj Con Familiar;3486.69;2012;1
>10;>48;Febrero;685.47;367.39;0;21/02/2014;10;TAT  Tratamiento al Titu;684.52;2010;1
<=10;<24, 48];Febrero;309.96;0;0;4/02/2014;11;TAT  Tratamiento al Titu;3369.48;2012;0
<=10;<24, 48];Febrero;1018.15;0;0;7/02/2014;15;TAT  Tratamiento al Titu;5933.44;2013;1
<=10;<=24;Febrero;250.24;0;0;4/02/2014;18;IPT  Inbound PDP Total;5794.71;2013;0
<=10;<24, 48];Febrero;860.86;0;0;12/02/2014;10;PDP  Promesa De Pago;23708;2012;0
<=10;<24, 48];Febrero;314.95;0;0;17/02/2014;18;MCF  Msj Con Familiar;3140;2013;0
<=10;>48;Febrero;21.18;0;556.23;5/02/2014;8;MCF  Msj Con Familiar;10568.6;2011;0
<=10;<24, 48];Febrero;208.5;0;0;7/02/2014;9;PDP  Promesa De Pago;3685.97;2013;0
<=10;>48;Febrero;414.22;0.21;0.47;4/02/2014;8;PDP  Promesa De Pago;8533.99;2012;0
>10;<24, 48];Febrero;213.48;212.99;0;20/02/2014;20;TELF. NO CORRESPONDE;2012.95;2011;0
<=10;<24, 48];Febrero;529.67;0.46;0.73;4/02/2014;14;PDP  Promesa De Pago;13743.6;2013;0
<=10;<24, 48];Febrero;665.66;1336.3;1313.35;26/02/2014;10;MCT  Msj Con Terceros;21318.1;2012;0
>10;>48;Febrero;195.86;803.41;605.09;5/02/2014;15;TAT sin contacto con Titular;8801.54;2011;0
<=10;>48;Febrero;564.31;562.46;0;3/02/2014;9;PDP  Promesa De Pago;21453.5;2013;0
<=10;>48;Febrero;524.62;0;523.52;13/02/2014;15;MCT  Msj Con Terceros;13936.7;2013;0
<=10;<=24;Febrero;244.98;0;0;4/02/2014;9;TELF. NO CORRESPONDE;4134.46;2013;0
<=10;<=24;Febrero;290.12;274.68;302.32;6/02/2014;15;PDP  Promesa De Pago;4087.31;2013;0
<=10;<24, 48];Febrero;668.31;442.83;132.28;14/02/2014;7;TELF. NO CORRESPONDE;20500.7;2013;0
<=10;<24, 48];Febrero;1196.47;0;0;6/02/2014;13;TELF. NO CORRESPONDE;20870.4;2013;1
<=10;>48;Febrero;58.35;113.55;112.44;4/02/2014;19;TELF. NO CORRESPONDE;2440.15;2013;0
<=10;<24, 48];Febrero;258.44;258.44;0;3/02/2014;11;PDP  Promesa De Pago;1221.88;2012;0
<=10;>48;Febrero;37.56;0;0;3/02/2014;15;MCF  Msj Con Familiar;9588.19;2013;0
<=10;<24, 48];Febrero;426.28;854.03;1286.43;28/02/2014;13;MCT  Msj Con Terceros;5731.62;2012;0
<=10;<24, 48];Febrero;90.42;0;339.95;19/02/2014;11;MCC  Msj Con Comp De Trab;8320.76;2013;0
>10;>48;Febrero;178.93;0;0;19/02/2014;11;PDP  Promesa De Pago;2976.52;2010;0
<=10;<=24;Febrero;216.39;0;217.4;19/02/2014;12;PDP  Promesa De Pago;1399.89;2013;0
<=10;<24, 48];Febrero;407.55;407.83;0.43;5/02/2014;7;PDP  Promesa De Pago;7939.39;2013;0
>10;<24, 48];Febrero;234.07;233.85;234.14;28/02/2014;9;MCT  Msj Con Terceros;1288.02;2011;0
<=10;<24, 48];Febrero;1709.04;0;0;19/02/2014;16;MCT  Msj Con Terceros;9630.36;2012;1
<=10;<24, 48];Febrero;723.52;540.18;540.18;20/02/2014;18;PAR  Promesa Parcial;7631.27;2012;1
<=10;<24, 48];Febrero;278.19;0;0;3/02/2014;15;CAN  Cliente Cancelo;14232.5;2013;0
<=10;>48;Febrero;75.63;267.94;0;17/02/2014;15;PDP  Promesa De Pago;5746.64;2011;0
>10;<=24;Febrero;562.33;0;0;4/02/2014;19;MCT  Msj Con Terceros;1135.67;2012;0
<=10;<24, 48];Febrero;694.16;1043.22;0;17/02/2014;15;MCT  Msj Con Terceros;7579.82;2013;1
<=10;>48;Febrero;735.6;1471.42;0;26/02/2014;13;TELF. NO CORRESPONDE;22031.6;2013;0
<=10;<24, 48];Febrero;256.65;0;0;5/02/2014;20;TELF. NO CORRESPONDE;4370.79;2013;0
<=10;>48;Febrero;54.2;0;0;5/02/2014;9;MCV  Msj Con Vecino;10003.5;2013;0
<=10;<=24;Febrero;300.17;297.89;230.08;11/02/2014;7;MCT  Msj Con Terceros;2673.71;2013;0
>10;<24, 48];Febrero;160.31;0;0;20/02/2014;8;TELF. NO CORRESPONDE;2450.71;2011;0
<=10;<24, 48];Febrero;158.06;158.58;0;7/02/2014;12;MCT  Msj Con Terceros;6038.81;2013;0
<=10;>48;Febrero;211.91;228.71;219.6;11/02/2014;20;PDP  Promesa De Pago;5823.99;2013;0
<=10;<=24;Febrero;627.85;1260.52;37.35;13/02/2014;10;TELF. NO CORRESPONDE;11267.5;2013;0
<=10;>48;Febrero;187.68;0;721.47;3/02/2014;16;MCT  Msj Con Terceros;22363.8;2013;0
>10;<24, 48];Febrero;879.05;437.16;0;12/02/2014;10;MCT  Msj Con Terceros;6450.56;2012;1
>10;<24, 48];Febrero;224.48;224.59;224.85;10/02/2014;7;PDP  Promesa De Pago;1848.48;2011;0
<=10;<24, 48];Febrero;1167.15;0;0;6/02/2014;15;MCT  Msj Con Terceros;3814.1;2012;1
>10;>48;Febrero;113.7;244.24;59.57;21/02/2014;7;MCF  Msj Con Familiar;2042.03;2010;0
<=10;<24, 48];Febrero;289.58;0;297.58;5/02/2014;10;PDP  Promesa De Pago;6512.6;2012;0
<=10;<24, 48];Febrero;1112.36;0;0;5/02/2014;14;MCF  Msj Con Familiar;4015.67;2012;1
<=10;<24, 48];Febrero;1396.72;0;0;5/02/2014;16;MCT  Msj Con Terceros;10544.1;2013;1
>10;<24, 48];Febrero;138.63;133.13;142.9;4/02/2014;9;TELF. NO CORRESPONDE;968.94;2011;0
<=10;<24, 48];Febrero;683.67;680.32;665.88;12/02/2014;12;TAT  Tratamiento al Titu;16757.6;2012;0
<=10;<=24;Febrero;635.78;637.46;0;19/02/2014;18;TELF. NO CORRESPONDE;635.11;2013;1
<=10;<24, 48];Febrero;202.46;0;0;12/02/2014;9;MCT  Msj Con Terceros;2382.5;2012;0
>10;<24, 48];Febrero;44.57;0;0;21/02/2014;8;TAT  Tratamiento al Titu;1731.05;2011;0
<=10;<24, 48];Febrero;36.48;251.23;308.77;3/02/2014;16;MCF  Msj Con Familiar;12723.7;2013;0
>10;<24, 48];Febrero;725.79;0;0;5/02/2014;12;MCT  Msj Con Terceros;3099.23;2012;1
<=10;<24, 48];Febrero;776.6;785.89;1050.63;7/02/2014;11;MCT  Msj Con Terceros;5212.02;2013;1
>10;<24, 48];Febrero;326.65;0;0;21/02/2014;15;MCF  Msj Con Familiar;1357.68;2011;0
<=10;<24, 48];Febrero;455.71;0;0;5/02/2014;11;MCF  Msj Con Familiar;8043.44;2012;0
<=10;>48;Febrero;684.82;0;0;10/02/2014;13;MCT  Msj Con Terceros;21898.7;2013;0
<=10;<=24;Febrero;341.91;0;341.67;25/02/2014;13;MCT  Msj Con Terceros;5511.33;2013;0
<=10;>48;Febrero;466.22;302.03;471.11;6/02/2014;10;TELF. NO CORRESPONDE;13489.2;2013;0
>10;<24, 48];Febrero;336.53;336.6;337.24;21/02/2014;7;PDP  Promesa De Pago;4540.3;2012;0
<=10;>48;Febrero;468.14;0;0;3/02/2014;11;TELF. NO CORRESPONDE;12716.3;2013;0
<=10;<24, 48];Febrero;300.54;394.94;0;3/02/2014;9;MCT  Msj Con Terceros;14007.8;2011;0
<=10;<=24;Febrero;368.97;827.12;827.12;27/02/2014;15;MCO  Msj Con Conyuge;1700.54;2012;0
>10;<24, 48];Febrero;65.33;81.8;11.49;6/02/2014;15;TELF. NO CORRESPONDE;1051.6;2011;0
<=10;<24, 48];Febrero;228.05;499.26;500.97;24/02/2014;9;TELF. NO CORRESPONDE;19146;2013;0
>10;<24, 48];Febrero;290.61;286.47;0;17/02/2014;13;PDP  Promesa De Pago;4864.59;2012;0
>10;<=24;Febrero;256.57;0;609.09;18/02/2014;13;MCT  Msj Con Terceros;556.11;2012;0
<=10;<=24;Febrero;649.45;651.01;1328.74;21/02/2014;18;PDP  Promesa De Pago;4512.14;2013;0
<=10;<24, 48];Febrero;956.24;1057.15;925.98;11/02/2014;7;PDP  Promesa De Pago;29963.6;2013;0
<=10;>48;Febrero;284.66;0;955.4;21/02/2014;15;TELF. NO CORRESPONDE;1168.24;2011;0
<=10;>48;Febrero;519.25;529.85;0;19/02/2014;7;MCT  Msj Con Terceros;4575.77;2011;1
<=10;>48;Febrero;171.62;507.63;0;5/02/2014;20;TELF. NO CORRESPONDE;8468.82;2013;1
>10;>48;Febrero;1514.24;0;0;18/02/2014;14;MCT  Msj Con Terceros;11162;2012;1
>10;>48;Febrero;381.13;380.49;379.03;24/02/2014;16;MCO  Msj Con Conyuge;4560.06;2011;0
<=10;<=24;Febrero;623.58;632.94;0;24/02/2014;8;TELF. NO CORRESPONDE;622.91;2013;1
<=10;<=24;Febrero;246.83;0;270.86;4/02/2014;9;PDP  Promesa De Pago;3126.17;2013;0
>10;>48;Febrero;618.22;1221.22;215.05;28/02/2014;7;TAT  Tratamiento al Titu;10425.5;2011;0
>10;<=24;Febrero;219.91;220.43;0;3/02/2014;13;TAT  Tratamiento al Titu;658.35;2012;0
<=10;<=24;Febrero;748.77;0;0;5/02/2014;7;PDP  Promesa De Pago;4337.14;2013;1
<=10;<24, 48];Febrero;418.58;0;0;19/02/2014;18;PDP  Promesa De Pago;8512.7;2012;0
<=10;<24, 48];Febrero;2184.21;0;0;26/02/2014;16;MCT  Msj Con Terceros;21899.2;2013;1
>10;<24, 48];Febrero;225.19;0;0;3/02/2014;11;PDP  Promesa De Pago;2769.15;2012;0
<=10;>48;Febrero;319.81;205.24;0;13/02/2014;14;MCT  Msj Con Terceros;13141.9;2012;0
<=10;>48;Febrero;819.77;845.2;0;26/02/2014;14;TAT  Tratamiento al Titu;21800.5;2012;0
<=10;<24, 48];Febrero;1451.25;0;732.68;3/02/2014;9;TAT  Tratamiento al Titu;21040.6;2013;1
<=10;>48;Febrero;940.85;0;0;4/02/2014;13;PDP  Promesa De Pago;56172.7;2013;0
<=10;<24, 48];Febrero;40;360.97;373.71;3/02/2014;13;PDP  Promesa De Pago;5731.27;2011;0
<=10;<24, 48];Febrero;26;32.76;33;25/02/2014;7;TELF. NO CORRESPONDE;13656.6;2013;0
<=10;<=24;Febrero;459.78;0;0;26/02/2014;14;MCT  Msj Con Terceros;3091.65;2013;1
<=10;<24, 48];Febrero;380.52;0;0;3/02/2014;9;MCF  Msj Con Familiar;10071.4;2012;0
<=10;<24, 48];Febrero;265.62;0;0;14/02/2014;14;TELF. NO CORRESPONDE;5390.46;2013;0
<=10;<=24;Febrero;303.26;334.11;334.11;12/02/2014;15;MCF  Msj Con Familiar;2546.17;2013;1
<=10;<24, 48];Febrero;666.41;689.48;1.25;10/02/2014;17;CAN  Cliente Cancelo;18180.1;2012;0
<=10;<24, 48];Febrero;115.26;115.35;129.17;4/02/2014;7;MCT  Msj Con Terceros;2492.8;2013;0
<=10;<=24;Febrero;1121.7;0;0;24/02/2014;15;MCF  Msj Con Familiar;6691.75;2013;1
<=10;<=24;Febrero;397.55;790.47;790.47;18/02/2014;8;MCF  Msj Con Familiar;5348.76;2013;1
<=10;<24, 48];Febrero;550.56;138.74;47.04;21/02/2014;10;PDP  Promesa De Pago;12932.5;2012;0
<=10;<24, 48];Febrero;330.6;0;0;7/02/2014;7;TAT  Tratamiento al Titu;7283.68;2013;0
<=10;>48;Febrero;30.47;0;0;10/02/2014;14;TELF. NO CORRESPONDE;36390.7;2012;0
<=10;<24, 48];Febrero;3010.78;4024.28;0;19/02/2014;14;MCF  Msj Con Familiar;31064.5;2013;1
<=10;<24, 48];Febrero;628.86;0;626.6;18/02/2014;9;MCT  Msj Con Terceros;17726.7;2013;0
<=10;>48;Febrero;657.45;0;0;6/02/2014;8;PDP  Promesa De Pago;25060.5;2013;0
<=10;<24, 48];Febrero;293.95;298.83;277.92;7/02/2014;10;MCT  Msj Con Terceros;3727.16;2012;0
<=10;<=24;Febrero;126.32;0;35.33;14/02/2014;14;TELF. NO CORRESPONDE;2143.31;2013;0
<=10;<24, 48];Febrero;606.4;608.62;1219.07;4/02/2014;13;MCF  Msj Con Familiar;12728.3;2013;0
<=10;<24, 48];Febrero;1340.36;0;0;4/02/2014;9;REC  Cliente con Reclamo;11573.3;2012;1
>10;<24, 48];Febrero;244.38;244.5;244.65;24/02/2014;12;MCT  Msj Con Terceros;3091.12;2012;0
<=10;<24, 48];Febrero;448.21;0;0;17/02/2014;8;MCT  Msj Con Terceros;2775.07;2012;1
<=10;<24, 48];Febrero;590.47;596.57;545.33;25/02/2014;16;MCT  Msj Con Terceros;17072.4;2013;0
<=10;>48;Febrero;456.65;0;66.45;4/02/2014;8;MCF  Msj Con Familiar;11276.3;2013;0
>10;>48;Febrero;117.63;236.72;119.33;20/02/2014;9;MCF  Msj Con Familiar;2137.1;2012;0
<=10;<24, 48];Febrero;873.5;0;0;28/02/2014;10;TELF. NO CORRESPONDE;10901.1;2012;1
<=10;>48;Febrero;1598.81;0;0;21/02/2014;11;PAR  Promesa Parcial;18801.3;2012;1
<=10;<24, 48];Febrero;715.13;0;0;20/02/2014;11;MCT  Msj Con Terceros;4458.61;2012;1
<=10;<24, 48];Febrero;374.95;750.7;1127.68;10/02/2014;13;MCC  Msj Con Comp De Trab;8796.94;2013;0
>10;<24, 48];Febrero;711.58;0.9;0.34;7/02/2014;14;MCT  Msj Con Terceros;8212.19;2011;1
>10;<24, 48];Febrero;347.97;348.62;697.98;14/02/2014;11;MCT  Msj Con Terceros;1902.73;2011;0
<=10;<24, 48];Febrero;278.96;559.84;843.05;3/02/2014;15;MCT  Msj Con Terceros;5245.11;2013;0
<=10;<=24;Febrero;578.78;580.61;1225.73;3/02/2014;10;TAT  Tratamiento al Titu;1753.16;2013;0
>10;<24, 48];Febrero;240.41;237.34;240.52;13/02/2014;12;MCT  Msj Con Terceros;2160.67;2011;0
<=10;<24, 48];Febrero;137.66;0;137.7;20/02/2014;7;PDP  Promesa De Pago;3954.22;2013;0
<=10;>48;Febrero;197.5;0;290.54;7/02/2014;9;MCT  Msj Con Terceros;7608.6;2013;0
<=10;<24, 48];Febrero;179.07;0;0;14/02/2014;9;TELF. NO CORRESPONDE;3780.38;2013;0
<=10;<24, 48];Febrero;450.1;0;0;6/02/2014;10;MCT  Msj Con Terceros;12130.9;2013;0
<=10;<24, 48];Febrero;363.64;83.85;0;4/02/2014;16;PDP  Promesa De Pago;8807.29;2013;0
<=10;>48;Febrero;1423.62;2144.99;0;26/02/2014;14;MCT  Msj Con Terceros;16982.9;2012;1
<=10;<24, 48];Febrero;570.02;0;910.66;20/02/2014;12;TELF. NO CORRESPONDE;5490.05;2013;1
<=10;<24, 48];Febrero;201.93;0;0;13/02/2014;10;MCT  Msj Con Terceros;16006.2;2013;0
>10;>48;Febrero;598.97;599.04;0;10/02/2014;15;TELF. NO CORRESPONDE;38683.6;2011;0
<=10;>48;Febrero;581.07;0.61;581.78;4/02/2014;14;MCT  Msj Con Terceros;16259.5;2013;0
<=10;<24, 48];Febrero;156.61;242.99;0;13/02/2014;8;CIH  Generar Cita;4464.67;2013;0
<=10;<=24;Febrero;313.31;311.96;311.84;28/02/2014;17;MCT  Msj Con Terceros;3054.68;2013;0
>10;<24, 48];Febrero;527.48;859.91;1194.38;5/02/2014;14;MCC  Msj Con Comp De Trab;2627.96;2011;1
>10;>48;Febrero;577.6;577.82;579.56;28/02/2014;20;TELF. NO CORRESPONDE;7567.24;2011;0
<=10;<=24;Febrero;361.25;0;0;4/02/2014;15;PDP  Promesa De Pago;5583.84;2013;0
<=10;<=24;Febrero;183.69;0;0;26/02/2014;8;MCF  Msj Con Familiar;2627.52;2013;0
<=10;<24, 48];Febrero;171.22;171.31;0;3/02/2014;11;TELF. NO CORRESPONDE;3061.31;2013;0
<=10;<24, 48];Febrero;310.01;0;313.1;6/02/2014;15;MCT  Msj Con Terceros;6833.32;2013;0
>10;<24, 48];Febrero;327.44;23.44;537;18/02/2014;14;TELF. NO CORRESPONDE;10983.1;2012;0
<=10;>48;Febrero;4059.9;0;0;18/02/2014;7;CAN  Cliente Cancelo;73187.8;2012;1
>10;<24, 48];Febrero;393.53;413.43;125.14;4/02/2014;11;CIH  Generar Cita;14325.8;2012;0
<=10;>48;Febrero;807.28;0;0;10/02/2014;11;MCT  Msj Con Terceros;9288.14;2013;1
<=10;<24, 48];Febrero;85.59;54.16;0;6/02/2014;7;MCF  Msj Con Familiar;5366.41;2013;0
>10;>48;Febrero;159.85;0;0;6/02/2014;17;MCF  Msj Con Familiar;16025.2;2012;0
<=10;<24, 48];Febrero;180.66;362.04;544.59;3/02/2014;11;PDP  Promesa De Pago;3427.19;2013;0
<=10;<24, 48];Febrero;44;0;0;4/02/2014;10;RPP  Recordar Promesa;12597.2;2013;0
<=10;<=24;Febrero;256.63;253.05;256.54;6/02/2014;7;MCF  Msj Con Familiar;2630.3;2013;0
<=10;>48;Febrero;1110.66;305.23;793.17;6/02/2014;16;PDP  Promesa De Pago;34930.1;2013;0
<=10;<=24;Febrero;189.52;0;0;25/02/2014;11;MCT  Msj Con Terceros;2041.37;2013;0
>10;<24, 48];Febrero;288.81;0;879.07;6/02/2014;14;PDP  Promesa De Pago;5290.25;2012;0
<=10;>48;Febrero;980.71;1076.54;0;20/02/2014;16;MCF  Msj Con Familiar;8310.97;2011;1
<=10;<24, 48];Febrero;268.82;526.03;784;10/02/2014;13;PDP  Promesa De Pago;4331.09;2012;1
<=10;<24, 48];Febrero;453.08;0;0;11/02/2014;14;MCF  Msj Con Familiar;12939.3;2013;0
>10;<24, 48];Febrero;187.82;0;0;7/02/2014;8;TELF. NO CORRESPONDE;6416.76;2012;0
<=10;>48;Febrero;662.49;103.55;0;3/02/2014;18;MCT  Msj Con Terceros;17585.2;2013;0
<=10;<24, 48];Febrero;340.19;0;344.86;3/02/2014;13;MCT  Msj Con Terceros;6898.57;2013;0
<=10;<24, 48];Febrero;298.54;600.23;903.51;4/02/2014;7;TELF. NO CORRESPONDE;7639.88;2013;0
>10;>48;Febrero;1542.42;2320.76;0;10/02/2014;19;PAR  Promesa Parcial;19769.7;2012;1
<=10;>48;Febrero;993.95;1062.31;1063.47;10/02/2014;15;TELF. NO CORRESPONDE;26606.3;2013;0
<=10;>48;Febrero;2605.52;0;0;6/02/2014;17;MCT  Msj Con Terceros;27915.7;2013;1
<=10;<24, 48];Febrero;167.62;171.87;9.79;4/02/2014;11;MCF  Msj Con Familiar;3413.81;2013;0
<=10;<24, 48];Febrero;329.57;667.16;0;26/02/2014;10;MCF  Msj Con Familiar;7107.49;2012;0
<=10;>48;Febrero;388.21;0;0;4/02/2014;16;MCT  Msj Con Terceros;6640.24;2011;0
<=10;<24, 48];Febrero;459.12;0.7;458.53;6/02/2014;19;MCF  Msj Con Familiar;11369.6;2013;0
<=10;<24, 48];Febrero;1170.35;0;0;28/02/2014;18;MCT  Msj Con Terceros;8655.7;2012;1
<=10;>48;Febrero;380.89;0;0;5/02/2014;8;PDP  Promesa De Pago;7748.99;2011;0
<=10;<24, 48];Febrero;608.71;0;135.96;3/02/2014;12;TELF. NO CORRESPONDE;20449.3;2013;0
<=10;<24, 48];Febrero;666.5;663.14;0;6/02/2014;12;PDP  Promesa De Pago;9880.13;2013;0
<=10;>48;Febrero;441.13;464.07;456.28;10/02/2014;11;TAT  Tratamiento al Titu;13219.2;2013;0
<=10;>48;Febrero;422.65;0;0;5/02/2014;8;PDP  Promesa De Pago;9088.4;2012;0
>10;<24, 48];Febrero;33.91;0;0;19/02/2014;9;TAT  Tratamiento al Titu;2128.86;2012;0
>10;<24, 48];Febrero;205.85;205.81;205.68;18/02/2014;10;PDP  Promesa De Pago;2718.59;2012;0
<=10;<24, 48];Febrero;267.42;0;0;7/02/2014;10;PDP  Promesa De Pago;5740.02;2013;0
<=10;<24, 48];Febrero;267.66;0;0;5/02/2014;15;TAT  Tratamiento al Titu;8756.84;2013;0
<=10;<=24;Febrero;166.83;167.17;167.4;27/02/2014;11;TELF. NO CORRESPONDE;2214.68;2013;0
>10;<=24;Febrero;160.51;0.49;160.89;5/02/2014;16;TELF. NO CORRESPONDE;739.23;2012;0
<=10;<24, 48];Febrero;321.91;681.41;370.32;21/02/2014;14;MCT  Msj Con Terceros;6735.76;2013;0
<=10;<=24;Febrero;33.93;0;0;6/02/2014;8;MCT  Msj Con Terceros;8204.23;2013;0
<=10;<24, 48];Febrero;148.29;142.33;141.09;11/02/2014;8;MCT  Msj Con Terceros;2163.47;2012;0
<=10;<24, 48];Febrero;324.91;324.89;324.89;5/02/2014;12;MCF  Msj Con Familiar;9743.25;2013;0
<=10;<24, 48];Febrero;136.77;0;0;6/02/2014;10;TELF. NO CORRESPONDE;12945;2013;0
<=10;>48;Febrero;228.74;343.35;343.35;18/02/2014;8;MCO  Msj Con Conyuge;2518.62;2013;1
<=10;>48;Febrero;1209.37;0;0;24/02/2014;15;MCT  Msj Con Terceros;29711.3;2013;1
>10;<24, 48];Febrero;96.4;0;349.34;12/02/2014;12;TELF. NO CORRESPONDE;1207.25;2011;0
>10;<24, 48];Febrero;251.87;0;253.73;17/02/2014;19;MCC  Msj Con Comp De Trab;3585.74;2012;0
<=10;<24, 48];Febrero;609.49;0;0;3/02/2014;8;PDP  Promesa De Pago;21739.3;2013;0
<=10;<24, 48];Febrero;278.23;0;0;6/02/2014;20;PDP  Promesa De Pago;4935.52;2013;0
<=10;<=24;Febrero;285.65;285.85;573.4;11/02/2014;20;MCT  Msj Con Terceros;3845.65;2013;1
<=10;<24, 48];Febrero;378.77;429.44;194.2;6/02/2014;19;TAT  Tratamiento al Titu;10260.7;2013;0
<=10;>48;Febrero;413.68;412.98;0;19/02/2014;8;MCF  Msj Con Familiar;11442.2;2013;0
<=10;<24, 48];Febrero;1350.22;0;0;25/02/2014;12;TAT  Tratamiento al Titu;24561.4;2013;1
>10;<24, 48];Febrero;147.16;147.29;294.89;11/02/2014;9;TELF. NO CORRESPONDE;1549.44;2012;0
<=10;<24, 48];Febrero;253.85;1104.13;1104.13;10/02/2014;7;PDP  Promesa De Pago;20305.6;2013;0
<=10;<=24;Febrero;343.47;362.5;362.26;26/02/2014;10;MCT  Msj Con Terceros;4065.95;2013;0
<=10;<24, 48];Febrero;164.19;497.74;0;5/02/2014;20;MCT  Msj Con Terceros;2298.68;2012;0
>10;>48;Febrero;646.07;682.64;1303.98;20/02/2014;11;TELF. NO CORRESPONDE;13341.5;2012;1
>10;<24, 48];Febrero;48.04;0;58.6;14/02/2014;14;MCT  Msj Con Terceros;2007.79;2012;1
<=10;<24, 48];Febrero;225.26;650.92;1081.12;13/02/2014;14;PDP  Promesa De Pago;7406.09;2013;0
<=10;<=24;Febrero;199.84;198.96;198.71;11/02/2014;10;MCT  Msj Con Terceros;1970.63;2013;0
<=10;<=24;Febrero;144.05;176.44;174.35;10/02/2014;7;MCT  Msj Con Terceros;2470.23;2013;0
<=10;<24, 48];Febrero;489.55;588.15;1177.11;25/02/2014;14;MCT  Msj Con Terceros;13521.4;2013;0
>10;<24, 48];Febrero;463.25;0;0;21/02/2014;8;MCT  Msj Con Terceros;6828.71;2012;0
<=10;<=24;Febrero;135.15;270.87;408.03;27/02/2014;13;TELF. NO CORRESPONDE;1751.15;2013;0
<=10;<24, 48];Febrero;588.9;6.61;0;21/02/2014;9;PDP  Promesa De Pago;10217.3;2011;0
<=10;<24, 48];Febrero;146.51;0;121.77;14/02/2014;9;MCT  Msj Con Terceros;5125.62;2013;0
<=10;<24, 48];Febrero;305.1;0;0;11/02/2014;15;TELF. NO CORRESPONDE;4695.9;2012;0
<=10;<24, 48];Febrero;237.48;476.23;717.68;18/02/2014;12;TAT sin contacto con Titular;2751.51;2012;0
>10;<24, 48];Febrero;377.84;377.85;378.82;4/02/2014;11;TELF. NO CORRESPONDE;8173.55;2012;0
>10;>48;Febrero;153.91;32.16;0;10/02/2014;10;PDP  Promesa De Pago;9167.57;2012;0
<=10;>48;Febrero;585.91;593.31;593.77;13/02/2014;11;MCF  Msj Con Familiar;17290.7;2013;0
<=10;<24, 48];Febrero;924.18;1850.64;0;28/02/2014;8;MCF  Msj Con Familiar;23615.3;2012;0
>10;<24, 48];Febrero;227;0.16;0.1;4/02/2014;19;TELF. NO CORRESPONDE;1770.16;2011;0
>10;>48;Febrero;773.05;1170.31;1570.05;20/02/2014;8;MCV  Msj Con Vecino;5101.39;2011;1
<=10;>48;Febrero;535.9;0;0;11/02/2014;17;MCT  Msj Con Terceros;9622.22;2013;1
<=10;<24, 48];Febrero;113.4;217.61;0;21/02/2014;8;MCT  Msj Con Terceros;7315.63;2011;0
>10;>48;Febrero;383.61;384.59;204.87;20/02/2014;16;TAT sin contacto con Titular;6789.68;2011;0
<=10;<24, 48];Febrero;470.05;952.64;486.28;28/02/2014;10;TELF. NO CORRESPONDE;10845.7;2012;0
<=10;<24, 48];Febrero;455.14;0;455.06;3/02/2014;19;TELF. NO CORRESPONDE;8597.76;2012;0
<=10;<24, 48];Febrero;347.12;372.93;372.93;28/02/2014;17;MCT  Msj Con Terceros;5238.52;2013;1
>10;<24, 48];Febrero;230.03;0;0;4/02/2014;7;TELF. NO CORRESPONDE;4752.65;2011;0
