ID.Cliente;Genero;Mayor65años;Socio;Dependientes;MultipleLineas;Internet;SeguridadOnline;Backup;ProteccionDispositivo;No.servicio.Internet;TVPago;PeliculasStreaming;TerminoContrato;FactElectronica;MetodoPago;CargoMensual;ImporteTotal;pemanencia;ServicioTel;Churn
2178-PMGCJ;Masculino;0;No;No;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque fisico;69.7;1490.4;22;Si;No
7492-TAFJD;Masculino;0;Si;Si;No servicio tel;DSL;Si;Si;Si;No;No;No;Dos años;No;Cheque fisico;38.55;280;7;No;No
2773-MADBQ;Femenino;0;No;No;No servicio tel;DSL;Si;Si;Si;Si;No;Si;Dos años;Si;Cheque fisico;53.1;1901.25;36;No;No
6016-LVTJQ;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.65;NA;34;Si;No
7860-KSUGX;Masculino;0;Si;Si;Si;DSL;Si;Si;Si;No;No;No;Dos años;No;TarjetaCredito (automatico);64.45;4720;72;Si;No
8966-KZXXA;Masculino;0;Si;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);25.1;NA;NA;Si;No
6910-HADCM;Femenino;0;No;No;No;Fibra Optica;No;No;Si;No;No;No;Mes a mes;No;Cheque electronico;76.35;76.35;1;Si;Si
4816-LXZYW;Femenino;0;No;No;Si;Fibra Optica;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;79.15;1676.95;23;Si;Si
9606-PBKBQ;Masculino;1;Si;No;Si;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;85;2642.05;32;Si;Si
5149-QYTTU;Femenino;0;Si;Si;Si;Fibra Optica;Si;Si;Si;Si;No;No;Un año;Si;TarjetaCredito (automatico);95.15;6770.85;71;NA;No
2070-XYMFH;Femenino;1;No;No;Si;Fibra Optica;No;No;Si;No;No;No;Mes a mes;Si;Cheque fisico;79.35;1835.3;23;Si;No
2085-BOJKI;Masculino;0;Si;No;No;Fibra Optica;No;No;Si;No;Si;Si;Un año;Si;TransfBanca (automatica);96.65;1588.25;17;Si;No
0817-HSUSE;Masculino;0;No;No;No;DSL;No;No;Si;Si;Si;Si;Mes a mes;Si;Cheque electronico;75.5;75.5;1;Si;No
5442-PPTJY;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;19.7;NA;12;Si;No
1927-QEWMY;Femenino;0;Si;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);20.5;1502.25;72;Si;No
1663-MHLHE;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;19.2;19.2;1;Si;No
5663-QBGIS;Masculino;1;Si;No;Si;Fibra Optica;No;Si;No;No;Si;Si;Dos años;No;TransfBanca (automatica);98.35;6929.4;72;Si;No
4450-MDZFX;Masculino;0;Si;Si;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;No;TransfBanca (automatica);74.35;4453.3;60;Si;No
6701-DHKWQ;Femenino;0;Si;Si;No servicio tel;DSL;No;Si;Si;Si;Si;No;Dos años;No;TarjetaCredito (automatico);51.35;3244.4;61;No;No
7554-AKDQF;Femenino;0;Si;No;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque fisico;45.65;323.45;6;Si;No
3536-IQCTX;Masculino;1;Si;No;Si;Fibra Optica;No;No;No;No;No;Si;Mes a mes;No;Cheque electronico;85.3;2661.1;32;Si;Si
4911-BANWH;Femenino;0;No;Si;Si;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;TarjetaCredito (automatico);86.55;2697.4;31;Si;Si
8496-EJAUI;Masculino;0;No;No;No;Fibra Optica;No;Si;No;No;No;No;Mes a mes;Si;TarjetaCredito (automatico);73.85;1424.5;19;Si;Si
0794-YVSGE;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);20.3;1401.15;72;Si;No
5423-BHIXO;Femenino;0;No;No;Si;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;54.2;1739.6;32;NA;No
6908-VVYHM;Masculino;0;Si;No;Si;Fibra Optica;No;Si;No;No;No;Si;Mes a mes;Si;Cheque electronico;90.65;NA;NA;NA;No
2959-EEXWB;Femenino;0;Si;Si;No servicio tel;DSL;Si;No;No;No;Si;Si;Mes a mes;Si;TransfBanca (automatica);NA;2333.85;45;No;No
1839-UMACK;Masculino;0;No;No;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque electronico;25.05;949.85;NA;Si;No
3030-YDNRM;Masculino;0;No;No;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;74.85;572.45;8;Si;No
7321-KKSDU;Masculino;0;No;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;20.5;696.8;NA;Si;No
3402-XRIUO;Femenino;1;Si;No;Si;DSL;Si;Si;No;Si;No;No;Mes a mes;Si;Cheque fisico;63.55;1381.8;22;Si;No
3132-TVFDZ;Masculino;1;Si;No;No servicio tel;DSL;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;44.85;2572.95;57;No;Si
8286-AFUYI;Masculino;0;No;No;No;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque electronico;47.95;NA;1;NA;No
8080-DDEMJ;Masculino;1;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;45.1;NA;1;Si;Si
8356-WUAOJ;Femenino;0;Si;No;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;45;45;1;Si;No
6365-MTGZX;Masculino;0;No;No;No;Fibra Optica;No;No;No;Si;Si;Si;Mes a mes;Si;Cheque electronico;96;2122.45;24;Si;Si
1349-WXNGG;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;TransfBanca (automatica);20.05;20.05;1;Si;Si
8058-DMYRU;Masculino;1;No;No;Si;Fibra Optica;No;Si;No;No;No;Si;Mes a mes;Si;Cheque electronico;90.05;4931.8;54;Si;No
9350-ZXYJC;Femenino;0;No;No;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TarjetaCredito (automatico);25.3;116.95;4;Si;No
6990-YNRIO;Masculino;0;Si;Si;Si;Fibra Optica;Si;No;Si;Si;Si;Si;Dos años;No;TransfBanca (automatica);108.65;6937.95;65;Si;Si
8958-JPTRR;Femenino;0;Si;No;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque electronico;24.3;1261.7;NA;Si;No
6959-GQEGV;Masculino;0;No;No;No;DSL;Si;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;75.95;3273.8;45;Si;No
3173-WSSUE;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);NA;1415.85;71;Si;No
1265-HVPZB;Masculino;0;Si;No;No;DSL;Si;Si;Si;No;Si;No;Un año;No;TarjetaCredito (automatico);66.4;3958.2;59;Si;No
4115-UMJFQ;Masculino;0;No;No;No servicio tel;DSL;No;Si;Si;No;No;No;Un año;Si;TransfBanca (automatica);35.75;2492.25;69;No;No
7369-TRPFD;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;18.8;279.2;NA;Si;No
1098-KFQEC;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);19.4;1083;55;Si;No
7190-XHTWJ;Femenino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;19.3;755.5;38;Si;No
0621-TWIEM;Masculino;0;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;45.55;402.6;10;Si;Si
3537-RYBHH;Femenino;1;Si;No;Si;DSL;Si;Si;Si;No;No;No;Mes a mes;Si;TarjetaCredito (automatico);67.45;3252;47;Si;No
2485-ITVKB;Femenino;0;Si;No;No servicio tel;DSL;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;35.1;68.75;2;No;Si
3669-OYSJI;Masculino;0;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;No;TarjetaCredito (automatico);46.2;46.2;1;Si;Si
1612-EOHDH;Femenino;0;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;45.15;45.15;NA;Si;Si
6702-OHFWR;Masculino;1;No;No;No servicio tel;DSL;No;Si;Si;No;No;Si;Mes a mes;Si;Cheque electronico;43.3;43.3;1;No;Si
5296-BFCYD;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;Cheque fisico;20.1;936.85;46;Si;No
4510-PYUSH;Femenino;1;No;No;No;DSL;Si;Si;No;No;No;No;Mes a mes;Si;TarjetaCredito (automatico);57.15;2250.65;NA;Si;Si
9359-JANWS;Femenino;0;Si;No;No;DSL;Si;No;Si;Si;No;No;Dos años;No;TarjetaCredito (automatico);58.9;3857.1;65;Si;No
7517-SAWMO;Femenino;0;Si;No;No;Fibra Optica;Si;No;No;No;No;No;Mes a mes;Si;Cheque electronico;73.2;1441.1;19;Si;Si
4143-HHPMK;Masculino;0;No;No;No;Fibra Optica;No;Si;No;No;No;Si;Mes a mes;Si;Cheque electronico;85.35;4338.6;52;Si;Si
3279-DYZQM;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;19.45;NA;71;Si;No
7054-LGEQW;Femenino;0;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque fisico;45.95;45.95;1;Si;Si
0523-VNGTF;Femenino;1;No;No;No servicio tel;DSL;No;Si;Si;Si;Si;No;Mes a mes;Si;Cheque electronico;50.5;2566.3;52;No;No
9575-IWCAZ;Masculino;0;Si;No;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;25.1;171;6;Si;No
7105-MXJLL;Femenino;1;Si;No;No;DSL;No;No;Si;No;No;Si;Un año;No;Cheque fisico;NA;NA;26;Si;No
7064-FRRSW;Masculino;1;No;No;Si;Fibra Optica;No;Si;No;No;Si;Si;Un año;Si;Cheque electronico;99;4744.35;48;Si;No
7940-UQQUG;Femenino;0;Si;Si;Si;Fibra Optica;Si;No;No;Si;Si;Si;Un año;Si;TransfBanca (automatica);NA;6721.6;64;Si;No
0923-PNFUB;Femenino;0;No;No;No;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;No;Cheque electronico;83.75;247.25;3;Si;Si
3961-SXAXY;Masculino;0;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;Si;TransfBanca (automatica);44.05;44.05;1;Si;No
7010-BRBUU;Masculino;0;Si;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);24.1;1734.65;72;NA;No
3566-HJGPK;Masculino;0;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque fisico;45.55;45.55;1;Si;No
3062-ICYZQ;Femenino;0;Si;Si;Si;Fibra Optica;Si;Si;No;No;No;Si;Mes a mes;Si;Cheque electronico;93.8;4539.35;51;Si;No
9938-PRCVK;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);19.7;804.25;41;Si;No
0973-KYVNF;Femenino;0;Si;Si;No;DSL;Si;Si;Si;No;Si;No;Dos años;Si;TarjetaCredito (automatico);70.65;5011.15;72;Si;No
5129-HHMZC;Femenino;0;Si;No;Si;DSL;Si;Si;No;Si;Si;Si;Dos años;No;TarjetaCredito (automatico);86.45;3574.5;43;NA;No
9637-CDTKZ;Masculino;0;Si;No;Si;Fibra Optica;Si;Si;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);114.1;8086.4;72;NA;No
3946-JEWRQ;Masculino;0;Si;No;Si;Fibra Optica;No;No;No;No;Si;Si;Un año;Si;TarjetaCredito (automatico);95.2;4563;47;Si;No
7873-CVMAW;Masculino;0;No;No;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;No;TarjetaCredito (automatico);88.55;6362.35;72;Si;No
0463-WZZKO;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;TarjetaCredito (automatico);20.75;67.1;3;Si;No
3494-JCHRQ;Masculino;0;No;No;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;70.05;70.05;1;Si;Si
6474-FVJLC;Masculino;0;No;No;Si;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;86;165.45;2;Si;Si
4524-QCSSM;Masculino;0;No;No;No servicio tel;DSL;Si;Si;No;No;No;Si;Mes a mes;Si;TransfBanca (automatica);44.65;1156.55;26;No;No
5832-EXGTT;Masculino;0;Si;Si;No;DSL;Si;No;No;No;No;Si;Mes a mes;Si;Cheque fisico;60.2;1834.15;29;Si;No
8840-DQLGN;Femenino;1;Si;No;Si;Fibra Optica;Si;Si;No;Si;Si;No;Mes a mes;Si;TransfBanca (automatica);100.5;3653.35;NA;Si;Si
2039-JONDJ;Masculino;0;No;No;No;DSL;Si;Si;No;No;No;No;Un año;No;TransfBanca (automatica);55.45;1477.65;NA;Si;No
7217-JYHOQ;Masculino;0;Si;Si;No;DSL;Si;Si;No;Si;No;Si;Mes a mes;Si;TarjetaCredito (automatico);70.3;NA;24;Si;No
6695-FRVEC;Masculino;0;Si;Si;No;DSL;Si;No;Si;Si;No;No;Dos años;Si;TransfBanca (automatica);60.4;3953.7;67;Si;No
4547-LYTDD;Femenino;0;No;No;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;72.65;1194.3;16;NA;Si
9894-QMIMJ;Femenino;0;No;No;No;DSL;No;Si;Si;No;No;No;Un año;No;TransfBanca (automatica);55.8;1327.85;23;Si;No
8069-YQQAJ;Masculino;0;No;No;No servicio tel;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque fisico;31.1;419.7;14;No;No
6770-XUAGN;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;Cheque electronico;21;21;1;Si;Si
4193-ORFCL;Femenino;1;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque fisico;45.1;45.1;NA;Si;Si
1636-NTNCO;Masculino;1;No;No;No servicio tel;DSL;No;Si;No;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);50.95;207.35;4;No;No
3466-WAESX;Masculino;0;No;Si;Si;DSL;Si;Si;No;No;No;Si;Mes a mes;Si;Cheque electronico;69.1;1083.7;16;Si;No
9281-PKKZE;Femenino;0;Si;No;No servicio tel;DSL;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;43.95;2007.85;46;No;No
3638-VBZTA;Masculino;0;No;Si;Si;DSL;Si;Si;No;Si;Si;Si;Dos años;Si;TransfBanca (automatica);NA;5882.75;68;Si;No
7459-IMVYU;Masculino;0;No;No;Si;DSL;Si;Si;Si;Si;No;No;Mes a mes;No;Cheque electronico;69.95;2657.55;38;Si;No
7776-QWNFX;Masculino;1;Si;No;No;DSL;No;Si;No;No;No;No;Mes a mes;Si;TransfBanca (automatica);50.4;1527.5;30;Si;Si
6689-TCZHQ;Femenino;1;No;No;No;Fibra Optica;No;No;No;No;No;Si;Mes a mes;No;Cheque electronico;78.95;378.4;5;Si;Si
8563-OYMQY;Masculino;0;No;No;No;Fibra Optica;No;Si;Si;No;No;Si;Mes a mes;Si;TarjetaCredito (automatico);90.95;1612.2;17;Si;No
0754-EEBDC;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;19.9;76.65;4;Si;No
5777-ZPQNC;Femenino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque electronico;20.15;260.7;12;Si;No
1951-IEYXM;Masculino;0;Si;Si;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);90.6;6441.85;72;Si;No
3318-NMQXL;Masculino;0;No;No;No;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;92;266.8;3;Si;No
3143-ILDAL;Masculino;0;No;No;Si;Fibra Optica;No;Si;No;Si;No;Si;Mes a mes;Si;Cheque electronico;94.45;NA;56;NA;Si
1022-RKXDR;Femenino;0;No;No;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;Cheque fisico;24.85;962.25;41;Si;No
2361-FJWNO;Masculino;0;No;No;No servicio tel;DSL;No;Si;No;Si;No;No;Un año;No;TarjetaCredito (automatico);36;NA;40;No;No
2272-UOINI;Femenino;0;No;No;No;DSL;Si;Si;No;Si;Si;Si;Mes a mes;Si;Cheque electronico;78.5;NA;7;Si;No
8232-UTFOZ;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);19.95;1399.35;69;Si;No
3750-YHRYO;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;20.65;150;NA;Si;No
6637-KYRCV;Femenino;0;Si;Si;No servicio tel;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;30.5;167.2;5;No;No
5668-MEISB;Femenino;0;Si;Si;Si;Fibra Optica;Si;Si;Si;Si;Si;No;Dos años;No;TarjetaCredito (automatico);106.1;7657.4;72;Si;No
0129-QMPDR;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;TransfBanca (automatica);20.5;865.05;44;Si;No
7188-CBBBA;Femenino;0;No;No;Si;Fibra Optica;No;Si;Si;No;Si;No;Un año;Si;Cheque electronico;95.5;6153.85;65;Si;No
5356-CSVSQ;Femenino;0;No;No;Si;DSL;No;No;No;Si;Si;No;Mes a mes;No;Cheque electronico;64.6;174.2;3;Si;No
3221-CJMSG;Masculino;0;No;No;No;DSL;No;No;No;Si;No;No;Mes a mes;Si;TarjetaCredito (automatico);51.1;1269.6;24;Si;No
4720-VSTSI;Femenino;0;No;No;Si;Fibra Optica;No;Si;Si;No;No;No;Mes a mes;Si;TransfBanca (automatica);84.8;3862.55;44;Si;Si
3219-JQRSL;Femenino;1;Si;No;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;No;TarjetaCredito (automatico);89.1;6352.4;72;Si;No
2801-NISEI;Masculino;0;No;No;No;DSL;Si;No;No;Si;No;No;Mes a mes;No;Cheque electronico;54.95;1348.5;24;NA;No
3946-MHCZW;Masculino;0;No;No;No;DSL;No;No;Si;No;No;No;Mes a mes;No;Cheque fisico;50.9;NA;1;Si;Si
4623-ZKHLY;Masculino;0;Si;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;TransfBanca (automatica);20.45;NA;NA;Si;No
6732-VAILE;Masculino;0;Si;Si;Si;DSL;No;Si;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);85.95;5931.75;NA;Si;No
8201-AAXCB;Masculino;0;Si;Si;Si;DSL;No;No;No;No;Si;No;Mes a mes;No;Cheque electronico;60.35;1404.65;25;Si;No
7696-CFTAT;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);19.8;726.1;NA;Si;No
1845-CSBRZ;Femenino;1;Si;Si;Si;Fibra Optica;No;No;No;No;Si;No;Mes a mes;No;TransfBanca (automatica);85.35;1961.6;22;Si;No
2123-VSCOT;Femenino;0;Si;Si;Si;DSL;No;No;Si;Si;Si;No;Dos años;Si;TransfBanca (automatica);72.1;4194.85;59;Si;No
6651-AZVTJ;Masculino;0;Si;Si;Si;Fibra Optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;99.8;4872.45;49;Si;Si
4566-GOLUK;Masculino;0;Si;Si;Si;Fibra Optica;No;No;Si;Si;Si;Si;Mes a mes;Si;TransfBanca (automatica);107.35;5118.95;47;Si;Si
2484-DGXPZ;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;Cheque fisico;19.55;658.95;31;Si;Si
2018-QKYGT;Masculino;0;Si;Si;No;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;81.05;81.05;1;Si;No
2792-VPPET;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;Cheque electronico;NA;76.95;3;Si;No
7409-JURKQ;Femenino;0;Si;No;Si;Fibra Optica;No;Si;Si;Si;Si;Si;Un año;Si;TransfBanca (automatica);111.8;5809.75;53;NA;No
3247-MHJKM;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.2;NA;1;Si;No
1964-SVLEA;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;Cheque fisico;19.7;415.9;20;Si;No
4587-NUKOX;Femenino;0;No;No;No;Fibra Optica;Si;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;79.1;246.5;3;NA;Si
7297-DVYGA;Femenino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;TransfBanca (automatica);19.85;996.95;51;Si;No
2239-CGBUZ;Femenino;0;Si;No;No;DSL;Si;Si;No;Si;No;No;Un año;Si;TransfBanca (automatica);60.5;3145.15;51;NA;No
0854-UYHZD;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;19.55;265.3;13;Si;No
7243-LCGGZ;Femenino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.9;20.9;1;Si;No
8267-KFGYD;Masculino;0;No;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;Cheque fisico;21.05;21.05;1;Si;No
4890-VMUAV;Masculino;0;No;No;Si;DSL;Si;Si;Si;Si;No;No;Un año;No;Cheque electronico;71.5;4576.3;63;Si;No
9261-WDCAF;Masculino;0;No;No;No;DSL;No;No;No;No;No;Si;Mes a mes;No;Cheque fisico;54.65;189.1;3;Si;No
3764-MNMOI;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);19.2;908.15;46;NA;No
7442-YGZFK;Masculino;0;No;No;Si;DSL;No;No;No;No;No;No;Mes a mes;Si;TarjetaCredito (automatico);49.8;49.8;1;Si;No
0420-BWTPW;Masculino;0;No;Si;No servicio tel;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque fisico;25.5;215.2;8;No;Si
8229-BUJHX;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);20.5;1500.95;71;Si;No
7449-HVPIV;Masculino;0;Si;Si;Si;Fibra Optica;No;No;Si;No;Si;No;Mes a mes;Si;TarjetaCredito (automatico);90.4;5099.15;55;Si;No
5504-WSIUR;Femenino;0;No;No;Si;Fibra Optica;No;Si;Si;Si;No;No;Un año;Si;TransfBanca (automatica);NA;6385.95;70;Si;No
8183-ONMXC;Femenino;0;No;No;No;Fibra Optica;No;No;No;No;No;Si;Mes a mes;No;Cheque electronico;80.75;159.45;2;Si;Si
8466-PZBLH;Masculino;0;Si;Si;Si;Fibra Optica;Si;No;No;Si;Si;Si;Dos años;No;TransfBanca (automatica);104.6;6885.75;67;Si;No
9614-RMGHA;Masculino;0;Si;No;Si;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;Si;TransfBanca (automatica);91.85;5940.85;65;Si;Si
8735-IJJEG;Masculino;0;Si;No;No;DSL;No;No;Si;No;No;No;Mes a mes;No;TarjetaCredito (automatico);50.2;668.85;NA;Si;No
0564-MUUQK;Femenino;0;Si;Si;Si;Fibra Optica;No;No;Si;Si;No;Si;Mes a mes;Si;TransfBanca (automatica);95.5;1916.2;20;Si;No
5054-IEXZT;Masculino;0;No;Si;No;Fibra Optica;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;75.35;75.35;1;Si;Si
5834-ASPWA;Masculino;0;No;No;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;75.45;75.45;1;Si;Si
0701-RFGFI;Femenino;0;Si;Si;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;TransfBanca (automatica);95.4;4613.95;49;Si;No
0019-EFAEP;Femenino;0;No;No;Si;Fibra Optica;Si;Si;Si;No;Si;No;Dos años;Si;TransfBanca (automatica);101.3;7261.25;72;Si;No
5619-PTMIK;Femenino;0;Si;No;Si;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque electronico;53.1;2459.8;46;Si;No
3737-XBQDD;Masculino;0;No;No;Si;Fibra Optica;No;Si;Si;No;No;No;Mes a mes;Si;TransfBanca (automatica);84.85;NA;24;Si;No
5882-CMAZQ;Femenino;0;Si;Si;No servicio tel;DSL;No;Si;No;Si;No;No;Mes a mes;No;Cheque electronico;34.25;163.55;5;No;No
5846-QFDFI;Femenino;0;Si;Si;Si;Fibra Optica;No;Si;Si;Si;No;No;Mes a mes;No;TarjetaCredito (automatico);88.6;2888.7;33;Si;No
4445-KWOKW;Femenino;0;No;No;Si;DSL;Si;Si;No;No;No;No;Un año;Si;TransfBanca (automatica);60.15;NA;42;Si;No
3511-APPBJ;Masculino;0;No;No;No;Fibra Optica;Si;No;Si;No;Si;Si;Un año;Si;TarjetaCredito (automatico);99.95;2292.75;23;Si;No
