"","ID","Edad","Experiencia","Ingreso","Postal","Familia","credito","educacion","cuenta.de.ahorros","servicios.online","Mora"
"620",1699,44,20,149,92121,1,1.7,1,0,1,0
"621",354,53,29,55,95818,4,1.1,2,1,1,0
"623",4626,45,21,102,92037,4,4.7,2,0,0,0
"624",1514,45,21,183,95211,2,1.4,1,0,0,0
"625",3177,48,24,14,91330,3,0.4,1,0,1,0
"626",748,57,32,21,94112,3,0.1,2,0,1,0
"627",4888,41,15,49,90245,3,0.9,3,0,1,1
"628",2125,35,9,44,92054,3,0.9,1,0,0,0
"629",3980,38,14,90,93010,2,0,1,0,1,1
"630",1002,57,32,55,90717,4,2.1,1,0,1,0
"631",4652,48,24,58,94005,2,1.7,1,1,0,0
"632",3466,65,41,42,95616,1,1.9,2,0,0,0
"633",1563,34,9,89,91763,1,0,1,0,1,0
"634",1936,34,9,191,94086,1,4.8,3,0,1,1
"635",43,32,7,132,90019,4,1.1,2,0,1,0
"636",3953,61,36,124,94611,2,3.9,1,0,0,1
"637",4692,41,17,65,90024,3,2.1,3,0,1,0
"638",4985,27,1,98,94043,4,2.3,3,0,0,1
"640",904,43,18,59,90048,1,2.4,1,0,1,0
"641",4665,62,37,83,93657,4,0.1,2,0,0,0
"643",739,36,10,80,94596,4,2.2,2,0,1,0
"644",3484,60,36,195,90066,1,4.7,1,0,1,0
"645",3718,61,37,73,94550,3,2,3,0,0,0
"646",1648,35,5,68,90509,4,1.8,3,0,0,0
"647",3430,39,14,28,91320,2,1.4,2,0,0,1
"648",2973,31,7,38,92182,1,1.8,2,0,1,1
"649",2496,46,22,70,94701,4,1.9,1,0,0,1
"650",4634,31,5,50,93106,1,1.5,1,0,1,0
"651",2081,65,40,69,91706,4,0.1,2,0,1,0
"657",59,28,2,93,94065,2,0.2,1,0,0,0
"658",36,48,24,81,92647,3,0.7,1,0,0,0
"659",3169,51,25,180,94701,1,1.7,1,0,1,0
"663",4846,45,21,128,94305,1,4.7,1,0,0,0
"664",502,50,26,39,90640,3,1.9,2,0,1,0
"665",4727,34,10,38,95039,1,1.33,1,0,1,0
"666",755,38,14,102,95020,2,1.9,1,0,1,1
"669",1240,51,26,12,90245,2,0.7,3,0,1,1
"670",2459,46,20,72,93108,2,0.8,3,0,1,1
"671",1677,46,20,74,92821,4,2.6,3,0,1,0
"674",2063,57,31,55,92521,3,2.5,1,0,1,1
"676",3074,29,5,149,94611,1,1.5,1,0,1,0
"677",358,38,14,42,94610,1,2,2,0,1,0
"678",326,54,28,89,95039,1,1.9,2,1,1,1
"679",2527,26,1,50,95616,4,0.6,2,0,0,0
"680",2013,57,31,51,93943,1,1.4,1,0,1,1
"681",4330,59,33,10,94063,4,0.7,3,0,1,0
"682",4838,36,10,183,95348,2,0,1,0,0,0
"683",2400,62,36,41,90245,2,1,3,0,1,0
"685",3324,60,35,20,92110,1,1.3,1,0,1,0
"687",1510,56,26,92,92647,2,4.5,3,1,0,1
"689",4861,51,25,34,93106,3,0.6,2,0,1,0
"690",1355,35,10,179,91942,1,8.6,1,0,0,0
"691",823,61,35,60,96091,3,1.4,3,0,0,0
"692",4856,58,32,130,94720,2,2.7,1,0,1,0
"693",2856,35,11,38,91706,1,1.5,2,0,1,0
"694",1810,35,10,79,95045,4,2.1,3,0,1,0
"695",2259,59,33,93,91320,2,0.7,2,0,0,0
"696",3106,30,4,23,94122,4,0.3,2,0,0,0
"697",3433,47,23,32,95370,1,1,1,0,0,1
"698",3140,52,26,95,92130,1,0.3,1,0,1,0
"699",676,29,2,33,91711,1,2,2,0,0,0
"700",3356,49,23,93,90036,1,2.4,1,0,1,1
"701",4107,48,22,54,93106,1,1.2,2,0,0,0
"703",1717,32,8,200,91330,2,6.5,1,0,1,0
"704",1778,52,27,34,93117,2,0.7,2,0,1,1
"705",2894,38,14,70,94022,4,2,3,0,1,0
"706",3135,54,30,22,95060,2,0.4,1,0,1,0
"707",4679,33,7,115,93305,1,2.7,2,0,1,0
"708",303,45,21,152,94550,2,7.5,1,0,1,0
"709",2581,31,7,149,92624,1,6,1,0,0,0
"710",174,58,34,42,90095,4,1.5,1,0,1,1
"711",4323,38,14,44,91320,2,1.7,1,0,0,0
"712",3273,35,9,85,92121,2,1.8,1,0,0,0
"713",3124,44,17,22,94546,3,1,2,0,1,1
"714",2446,47,23,25,93106,1,0.9,3,0,1,0
"715",3850,42,18,34,92653,1,2,2,1,0,0
"716",2591,46,20,152,95814,1,7.4,3,0,1,1
"717",1738,44,19,70,92399,1,0.2,2,0,0,0
"718",2280,47,23,34,91711,4,0.6,1,0,1,1
"719",1295,34,10,71,95003,1,0.1,1,0,1,1
"721",4941,46,22,19,92870,3,0.5,1,0,1,0
"723",1645,59,35,33,91355,4,0.4,1,0,0,1
"724",664,46,20,49,90503,3,2.2,2,0,0,0
"725",756,56,30,45,91103,4,0.7,2,0,0,1
"727",4460,32,8,115,90064,1,4,1,0,0,0
"728",226,39,13,93,94720,1,1.5,3,0,0,1
"729",239,57,32,28,95831,3,0.2,1,1,1,1
"730",2266,47,23,88,94305,4,1.4,2,0,0,0
"731",4224,53,26,8,94709,1,0.5,2,1,0,1
"732",2687,50,24,81,95053,2,0.4,3,1,0,0
"733",1507,52,27,25,95138,2,0,1,0,1,1
"734",2945,55,30,79,92182,2,0,3,0,0,0
"735",2730,58,34,63,90007,4,1.5,1,0,1,0
"736",1688,63,39,83,90025,3,2,3,0,1,1
"737",2406,57,32,13,94588,4,0.9,2,1,1,0
"738",2145,33,6,168,94720,3,5.67,2,0,1,0
"739",1797,57,32,42,92831,2,2.1,3,0,1,0
"740",3457,46,22,125,94536,2,4.7,3,0,1,0
"741",819,51,27,42,95039,4,1.1,2,0,1,1
"742",3294,44,20,62,94939,2,2.5,1,0,1,0
"743",4002,61,35,81,94709,4,1.9,2,0,0,0
"744",4043,29,3,190,92612,2,4.5,1,0,1,1
"745",3886,32,2,69,93943,4,4,3,0,1,0
"746",3533,38,12,141,94022,2,0,1,0,1,1
"748",2019,63,39,160,90089,2,2.1,1,0,1,1
"749",1484,58,32,63,92717,1,1.6,1,0,1,0
"750",2239,48,22,35,92709,1,1.4,3,0,1,0
"751",607,34,8,81,91741,3,0.9,2,0,1,0
"752",827,48,21,23,93555,3,0.67,2,0,1,0
"753",4200,43,19,81,90630,4,0.2,3,0,0,1
"754",324,59,34,99,90034,1,4.4,1,0,0,0
"756",129,38,14,74,92182,2,0,1,0,1,0
"758",228,47,23,148,94551,2,7.5,1,0,1,1
"759",4046,57,31,38,94720,4,0.7,2,0,1,0
"760",2510,36,11,8,93401,4,0.2,3,0,0,1
"761",1456,63,39,160,91330,2,2.1,1,0,0,1
"763",2481,39,13,50,91768,2,2.4,2,1,0,0
"764",2862,42,18,60,92677,4,0.2,3,0,0,1
"765",4020,62,36,28,95020,3,0.7,2,0,1,0
"766",2245,57,31,53,92806,1,0.8,2,0,0,0
"767",110,43,17,49,94542,1,2.8,1,0,1,0
"769",982,36,12,142,90064,3,2.3,2,0,1,1
"770",957,37,11,43,90250,1,2,1,0,1,0
"772",3344,62,37,125,94801,1,1,3,0,1,0
"773",3295,42,12,29,93611,3,2,3,0,0,0
"774",2849,24,-1,78,94720,2,1.8,2,0,0,0
"775",1203,35,11,24,95521,4,0.4,2,0,0,0
"776",4158,34,10,22,94545,3,0.9,3,0,1,0
"777",1662,38,14,64,92093,1,1.5,3,0,0,1
"778",2316,52,26,182,95818,2,1.4,2,0,1,0
"779",160,61,35,41,94545,4,1.7,2,0,1,0
"780",1001,59,35,8,92691,4,0.7,1,0,0,0
"781",1933,64,39,73,90073,3,2.4,1,0,0,0
"783",1335,47,22,35,94304,2,1.3,1,0,1,0
"785",4928,43,19,121,94720,1,0.7,2,0,1,1
"786",42,34,9,60,94122,3,2.3,1,0,0,0
"789",2691,64,38,29,90245,3,0.7,2,0,1,0
"790",3263,44,19,85,90024,2,3.8,3,0,1,0
"791",2582,60,34,25,94132,4,0.7,3,0,1,0
"794",2168,65,40,162,94596,1,1.3,1,0,1,0
"795",3031,50,26,110,94509,3,1.8,2,0,1,0
"796",4662,43,19,129,95039,1,5,1,0,1,0
"797",1585,46,20,25,93401,4,0.6,3,0,0,0
"799",4456,56,31,28,94040,1,1.5,2,0,1,1
"800",3393,32,7,58,92612,1,1,1,0,1,0
"801",1981,45,19,141,94706,1,2.4,1,0,1,0
"802",3317,56,26,63,94501,3,2,3,0,1,0
"803",3629,42,18,131,94949,1,3.4,1,0,0,1
"804",516,41,16,113,92780,1,1,3,0,0,1
"806",1756,28,3,55,92647,4,1.7,2,0,1,1
"807",2692,61,36,119,95064,2,5.4,2,0,1,0
"809",890,24,-2,82,91103,2,1.6,3,1,1,1
"810",4997,30,4,15,92037,4,0.4,1,0,1,0
"812",3715,49,23,65,94720,2,0.4,3,0,0,1
"813",1055,63,38,8,95136,4,0.6,2,0,1,0
"814",459,48,24,20,95841,1,1,1,0,1,1
"815",263,49,23,33,90245,1,0.3,3,0,1,1
"817",1424,55,30,64,90250,2,2.3,3,0,0,0
"818",308,42,18,33,90401,1,1.4,3,0,1,0
"820",1896,26,2,72,95003,4,2.6,1,0,1,0
"821",4205,40,16,61,91711,3,2.1,3,0,0,0
"822",3587,40,15,132,94131,2,3.9,1,0,1,0
"824",3460,26,1,88,94025,2,1.8,2,0,0,0
"825",4274,44,19,83,95812,2,3.8,3,0,0,1
"826",54,50,26,190,90245,3,2.1,3,0,1,0
"828",2150,48,22,150,95039,1,7.3,1,0,0,0
"829",2524,49,23,100,95403,2,6.3,1,0,0,0
"830",4672,39,14,104,95035,1,4,3,0,1,1
"831",740,49,23,82,91902,2,2.4,2,0,0,0
"832",1481,67,42,32,93943,1,1.1,3,0,0,1
"834",2107,62,38,132,90210,1,2.9,1,0,0,0
"835",2982,53,28,85,92037,1,1.2,1,0,0,0
"836",4860,34,8,165,91107,1,7,3,0,0,0
"838",2963,23,-2,81,91711,2,1.8,2,1,0,0
"840",2597,33,8,39,95032,3,2.3,1,0,0,0
"841",3334,37,13,79,91711,4,0.1,2,1,1,0
"844",2940,54,24,25,90016,4,0.4,3,0,0,1
"845",1847,56,32,15,90089,1,0.1,2,0,1,0
"846",1709,46,20,12,90250,4,0.6,3,1,0,1
"847",2197,51,24,189,95211,4,4.75,2,0,1,0
"849",1823,48,23,112,93014,1,5.1,2,1,1,0
"850",962,35,9,30,94114,4,1,1,0,1,0
"853",3310,52,27,43,94611,4,0.2,2,0,1,0
"854",4427,33,8,140,95814,1,4.6,1,0,1,0
"856",3865,62,32,142,95112,2,2.8,3,0,0,1
"857",2860,35,11,188,94596,1,0.9,3,0,1,0
"858",2803,52,22,154,90650,1,5,3,0,1,0
"859",1775,43,18,83,93109,3,0.5,3,0,0,1
"860",1267,64,39,113,92121,1,0.8,3,0,0,1
"861",268,47,22,81,90504,1,2.9,1,0,0,0
"862",1441,42,15,41,94610,3,2.5,2,0,1,0
"864",4382,33,8,39,94542,4,0.8,1,1,1,0
"866",2780,59,35,168,95521,4,4.1,2,0,1,0
"867",4678,25,0,38,93407,2,1.6,3,0,0,0
"868",2334,45,21,61,95812,3,0.7,1,0,1,1
"869",1746,37,12,40,90065,2,1.1,2,0,0,1
"870",777,50,26,135,92121,2,4.6,3,0,1,0
"871",3959,59,34,23,90009,4,0.4,2,0,0,0
"872",2218,48,24,162,91355,4,3.3,2,0,1,0
"875",1653,48,18,182,92626,4,6,3,0,1,0
"876",48,37,12,194,91380,4,0.2,3,0,1,1
"877",2952,26,2,132,94720,2,2.4,3,1,0,1
"880",675,49,23,59,95827,3,2.1,1,0,0,0
"882",1493,33,8,133,90024,1,0,1,0,1,0
"883",4635,42,17,29,94928,1,0.6,3,0,1,0
"884",80,50,26,19,94720,2,0.4,1,0,1,0
"885",4177,44,18,75,95131,1,0.7,3,0,0,1
"886",4779,52,27,22,90755,4,0.8,1,0,1,1
"887",4918,36,10,33,95616,4,1.2,2,0,1,0
"888",2719,59,33,68,95064,2,2.3,3,0,0,0
"889",4227,37,13,45,94591,1,1.8,1,0,0,0
"890",1199,40,14,42,94801,2,0.7,1,1,1,0
"891",2233,59,33,140,95035,2,0.5,1,1,1,0
"893",387,30,5,41,95051,4,1.7,2,0,1,0
"894",2271,26,2,51,92103,4,2.6,1,0,1,0
"895",763,32,6,85,90504,1,2.7,2,0,1,0
"896",3461,63,37,84,92691,4,2.4,3,0,1,1
"897",4863,33,7,44,95605,1,0.3,1,0,0,0
"898",3100,65,40,115,92647,1,2.5,1,0,0,1
"899",2805,56,32,33,95014,3,1.5,1,0,0,0
"900",2819,35,9,40,93943,3,0.9,1,0,1,1
"901",2832,53,27,45,90405,2,0.8,3,1,1,1
"902",3372,44,18,33,95351,3,0.5,2,0,0,0
"904",965,27,1,78,92037,4,2.3,3,1,1,0
"905",2388,28,2,51,94720,4,1.8,3,0,0,1
"907",2122,41,17,38,92182,4,2.2,2,0,0,1
"909",836,58,33,142,92691,2,3.9,1,0,1,1
"910",4710,26,1,35,90089,2,1.7,2,0,0,1
"911",853,33,7,29,92064,1,0.6,3,0,0,1
"912",745,45,20,154,94720,2,2.8,1,0,1,0
"913",4930,62,36,39,92028,2,0.3,1,0,1,0
"914",839,45,20,29,92507,4,1.9,3,0,0,0
"915",3488,29,4,104,91711,4,1.8,3,1,0,1
"916",4243,46,21,68,94720,1,0.2,2,0,1,0
"918",1438,28,3,123,92007,1,0.8,1,0,0,0
"919",1026,62,37,50,94545,3,1.5,1,0,1,0
"920",2488,45,20,40,92886,1,0.5,3,0,1,0
"923",3594,60,34,44,90018,2,0.3,1,0,1,0
"924",397,50,24,29,93023,4,0.1,1,0,0,0
"925",3289,56,30,140,94122,4,0.5,1,1,0,0
"926",4326,59,35,52,95616,4,1.5,1,0,1,1
"927",4130,29,3,10,91320,4,0.4,1,0,1,1
"928",3259,41,17,42,91910,4,2.2,2,0,1,0
"929",4371,27,3,18,93524,1,0.4,3,0,0,0
"931",1777,50,26,42,94080,4,1.1,2,1,1,0
"932",4651,47,23,63,95521,1,0.8,3,0,1,0
"933",1692,56,32,48,94117,1,1.6,3,0,0,1
"934",2094,48,23,75,94111,4,3.6,3,0,1,1
"935",2930,32,6,22,94061,4,0.3,1,0,0,0
"936",2016,30,5,141,95747,1,0.8,1,0,1,0
"938",3006,62,36,148,94111,3,7,2,0,1,0
"939",1519,43,17,64,95053,4,3,3,0,1,0
"940",2554,39,15,91,93907,2,1.7,2,0,0,0
"941",3702,58,33,95,90503,1,2.6,1,0,1,0
"943",4432,38,12,60,92806,2,1.8,1,1,1,0
"944",1045,49,24,79,95827,1,0.2,2,0,1,1
"946",3215,61,37,33,91775,3,0.1,3,0,1,0
"947",4557,55,29,79,94608,2,1.1,1,0,1,0
"948",4986,48,23,30,94720,3,1.7,2,0,1,0
"949",1349,38,14,35,95051,1,1.5,2,0,1,0
"950",4929,57,33,28,90245,1,1.2,3,0,1,0
"952",2137,50,26,115,95008,1,1.2,3,0,0,1
"953",2413,61,36,59,93118,4,1.7,1,0,0,0
"954",934,50,23,9,92064,2,1,2,0,1,0
"957",4611,37,13,79,91330,1,3.6,2,1,1,0
"960",2758,63,38,50,93943,2,2.8,1,0,0,0
"961",1614,60,34,52,94305,4,1.7,2,0,1,0
"962",2763,56,31,65,93403,2,3.7,1,0,1,0
"963",2712,39,14,34,94939,4,1.7,1,0,1,1
"965",2748,38,12,30,91765,2,1.4,3,0,0,1
"966",1657,40,15,175,92646,2,3.3,1,0,1,0
"967",2470,43,18,89,92780,1,0.1,2,0,0,1
"968",4074,51,27,19,92120,1,0.2,1,0,0,0
"969",946,57,32,33,91745,1,1.5,2,0,1,0
"970",1592,39,13,72,95817,2,2.8,1,0,1,0
"971",1693,58,32,32,93014,3,1.4,1,0,1,0
"972",2474,57,32,39,92182,4,0.9,1,1,0,0
"973",1903,39,14,85,94005,3,1.2,3,0,1,1
"974",104,43,18,22,95670,2,0.3,2,1,1,0
"976",229,47,22,53,92677,4,1.9,3,0,0,1
"977",4032,42,18,29,91320,1,0.3,3,0,1,0
"978",4800,44,20,33,94306,4,0.3,1,1,0,1
"980",1242,64,38,39,92120,1,0.5,3,0,1,1
"981",1402,40,15,84,94521,1,3.7,3,0,1,0
"982",1606,54,28,83,93555,3,0.8,1,0,1,0
"983",2000,48,22,80,93940,2,2.4,2,0,1,0
"984",1961,44,19,30,95616,4,0,2,0,1,0
"985",4109,64,39,73,94025,3,2.2,1,0,0,1
"986",373,56,30,44,93105,4,0.7,2,0,1,0
"987",2703,42,18,144,94063,2,6.1,1,0,0,0
"988",1367,60,34,33,91107,2,0.3,1,1,1,0
"989",3630,50,26,82,95051,1,0,1,1,1,1
"990",4739,56,32,44,94575,3,1.5,1,0,1,0
"992",683,58,34,12,90504,1,0.1,2,0,0,1
"993",4476,43,18,59,95039,3,0.8,3,0,1,0
"994",3158,23,-1,13,94720,4,1,1,0,1,0
"995",1047,51,26,34,94105,4,0.4,2,0,0,0
"996",2951,42,16,55,95820,1,0.7,3,0,1,0
"997",1286,38,13,113,94720,4,1.7,2,0,0,1
"998",1770,60,36,62,94061,4,2.2,1,0,0,0
"1000",1749,49,23,79,95819,3,0.7,2,1,1,0
"1001",4599,51,26,21,94143,4,0.8,1,0,1,0
"1002",4757,30,4,78,92677,4,2.2,2,0,0,0
"1004",4362,55,30,42,93940,2,2,2,0,0,1
"1005",4743,58,33,25,92121,4,0.9,2,0,1,1
"1006",3403,64,40,95,90095,2,0,3,0,1,1
"1008",1772,46,21,9,95023,2,0.7,3,0,1,0
"1010",1558,51,25,41,94939,4,1.8,1,0,0,0
"1011",2463,52,28,23,95828,3,0.4,1,0,1,0
"1012",400,28,3,84,90024,4,0.2,1,1,1,1
"1013",2702,50,26,55,94305,1,1.6,2,0,1,0
"1014",722,49,24,39,92717,1,1.4,3,1,1,0
"1015",588,50,24,94,93305,1,4.9,1,0,1,0
"1016",3864,34,10,21,91770,4,0.7,2,1,1,0
"1017",2292,47,23,90,95449,1,2.7,1,0,0,0
"1018",2797,57,32,30,94024,2,2,2,0,0,0
"1019",1368,62,38,42,95747,3,0.1,3,1,0,1
"1020",4666,40,16,65,90095,2,3.2,1,0,1,0
"1021",4413,34,10,19,91711,4,0.4,2,0,0,0
"1022",3560,51,25,68,94065,1,1.5,2,0,0,0
"1023",289,44,19,172,94306,2,4.3,3,0,1,0
"1024",4636,30,5,85,91910,2,2.5,1,0,1,1
"1025",2382,33,9,49,94928,1,2.4,2,0,1,0
"1026",91,55,30,118,90277,4,5.6,2,0,1,0
"1028",4034,54,24,69,93117,3,1.4,3,0,1,0
"1029",4270,47,23,12,92518,4,0.5,2,0,0,0
"1030",4519,53,28,30,94609,4,0.2,2,0,1,0
"1031",4894,42,12,39,94704,3,2,3,0,1,1
"1032",878,35,11,59,95123,4,0.1,2,0,0,0
"1034",573,39,15,128,92333,1,3.4,1,1,0,0
"1035",3297,63,37,132,94080,1,4.4,2,0,1,0
"1036",382,55,29,73,95616,2,2.3,3,0,1,1
"1037",2644,63,38,14,92630,4,0.4,2,0,1,1
"1038",718,59,34,94,93940,3,0.5,1,0,0,1
"1039",4164,54,28,108,94110,4,1.9,2,0,1,0
"1042",2106,31,5,49,94114,4,1.8,3,0,1,1
"1044",1074,33,8,122,94583,1,0,1,0,1,1
"1045",2047,43,16,161,95134,3,8,2,0,1,1
"1047",1549,57,32,21,92037,4,0.9,2,1,0,0
"1048",3755,63,37,112,93106,4,2.4,3,0,1,1
"1049",2359,53,27,63,93109,2,0.8,3,0,1,0
"1050",2546,25,-1,39,94720,3,2.4,2,0,1,0
"1051",195,53,29,144,92697,2,6.8,1,0,1,0
"1052",3489,40,15,51,94117,2,1.1,2,0,1,0
"1053",3346,35,11,14,94720,4,1,1,0,1,1
"1054",496,25,0,44,94545,4,0.6,2,0,1,1
"1055",3966,39,15,94,91941,2,1.9,1,1,1,0
"1059",168,33,9,23,94305,3,0.9,3,0,1,1
"1061",3810,26,2,62,94080,4,1.6,1,0,0,0
"1062",1474,65,35,23,91711,1,1.5,3,0,1,0
"1063",4509,27,2,85,94117,1,1.9,1,0,1,1
"1064",581,52,22,22,90049,4,0.4,3,0,1,1
"1066",2817,50,26,128,92780,2,0.4,1,0,1,0
"1067",4392,46,22,113,94105,2,3.3,1,0,0,1
"1070",4949,44,20,43,95032,1,0.7,1,0,0,1
"1071",759,64,39,35,90266,1,1.5,2,0,0,0
"1072",1372,58,32,65,95621,3,2.5,1,0,1,0
"1073",3178,30,4,83,91007,2,1.5,3,0,0,1
"1074",4831,37,12,60,95616,4,2.1,3,0,1,0
"1075",4603,57,32,81,94305,2,3.7,1,0,1,1
"1076",2771,36,6,69,90024,4,4,3,1,1,0
"1078",3065,59,33,83,94701,3,4.4,1,1,1,0
"1079",987,53,27,101,90245,4,4.9,1,1,1,0
"1080",1492,38,12,38,94553,2,0.3,1,0,1,1
"1081",1991,32,8,29,92807,1,0.2,3,0,1,1
"1082",3349,61,35,18,94303,3,0.3,3,0,0,0
"1083",1171,35,10,104,91320,3,0.6,2,0,0,1
"1084",681,61,36,51,94706,3,1.5,1,0,0,1
"1085",344,35,5,22,93407,1,0.67,3,0,0,0
"1086",2159,50,25,83,94720,4,3.1,1,0,0,1
"1087",2657,40,15,144,91040,1,4.1,1,1,0,0
"1088",3490,36,12,154,91320,3,6.4,1,0,0,0
"1089",1747,62,36,25,90740,3,0.3,3,0,1,1
"1090",3805,47,22,203,95842,2,8.8,1,0,1,0
"1092",3999,34,10,41,94102,1,1.33,1,0,0,1
"1093",1631,41,17,99,92096,2,1.8,2,1,1,1
"1094",3615,34,10,154,94583,3,5.4,2,0,1,0
"1095",787,45,21,42,94305,2,2.5,1,0,1,0
"1096",1594,63,38,83,91320,3,1.8,2,0,1,0
"1097",2501,28,2,121,92096,2,2,1,0,1,0
"1098",3635,59,35,73,90009,4,2.3,3,0,0,0
"1100",3605,63,38,59,92612,3,0.5,2,0,1,0
"1101",4587,58,32,61,91910,3,2.2,3,0,1,1
"1102",2231,36,11,183,94704,1,3,3,0,1,1
"1103",291,51,25,80,92373,1,4.9,1,0,0,0
"1104",3251,36,11,101,90212,3,1.2,3,0,0,1
"1105",4517,58,32,12,95929,4,0.7,3,0,1,0
"1106",4895,48,22,74,93950,1,1.4,3,0,0,0
"1107",2655,60,36,49,94965,4,2.2,1,0,1,0
"1109",3235,37,12,114,91107,3,0.6,2,0,1,0
"1110",1852,34,8,60,94015,4,2.2,2,0,0,1
"1111",1834,34,9,178,94303,1,0.8,3,1,0,0
"1112",2035,59,33,91,92821,4,1.9,2,0,0,0
"1115",3227,32,8,82,93943,3,1.5,1,0,1,1
"1116",4613,32,6,18,92007,2,0.3,2,1,1,0
"1117",1373,39,13,139,95616,3,3.4,1,0,1,0
"1118",1075,39,14,75,95762,3,3,1,0,0,1
"1119",660,63,39,79,93009,4,1.7,2,0,1,1
"1120",4567,24,0,131,92831,1,5.4,1,0,1,0
"1123",4837,54,24,72,93943,3,1.4,3,0,0,1
"1124",2551,32,8,20,93106,1,0.5,3,0,1,0
"1125",3992,64,38,84,94571,1,2,1,0,0,0
"1126",1224,45,19,11,96150,1,0.2,1,1,0,0
"1127",2824,33,7,21,90095,1,0.6,3,1,0,0
"1128",2113,27,2,103,93117,1,1.9,1,0,1,0
"1129",2798,65,39,53,94608,1,2.5,3,0,1,0
"1130",3396,41,16,35,94061,2,1.4,2,0,0,0
"1131",2616,57,32,68,94542,4,0.7,1,0,1,1
"1133",232,35,10,61,94304,4,2.1,3,0,1,0
"1134",424,43,19,161,95616,2,7.5,1,0,0,0
"1135",4178,47,23,75,93106,1,2.6,2,0,0,1
"1136",805,54,28,34,94061,4,0.7,2,0,1,0
"1137",3039,34,8,39,92124,4,0.2,1,0,1,0
"1138",3802,34,8,20,95616,2,0.3,1,0,1,1
"1139",1477,61,37,64,92028,1,0,2,0,0,1
"1142",1106,35,10,182,95051,1,0.3,2,0,1,1
"1143",1006,38,12,138,95112,2,0,1,0,1,0
"1144",1766,26,0,149,95051,2,7.2,1,0,0,0
"1145",2575,45,18,10,92037,3,0.67,2,1,1,0
"1146",2563,45,21,39,92521,2,2.1,3,0,0,1
"1147",2224,53,28,74,91711,3,2,2,0,0,0
"1148",4441,43,19,75,90041,3,0.3,3,0,0,0
"1149",3,39,15,11,94720,1,1,1,0,0,0
"1150",4257,41,17,165,91311,2,7.6,1,0,0,0
"1151",3077,29,-1,62,92672,2,1.75,3,0,0,1
"1152",4977,29,5,31,95039,1,1.8,2,0,1,1
"1153",1849,35,10,30,95032,3,1.3,1,0,1,1
"1154",1574,44,20,69,92028,1,0.8,3,1,1,1
"1156",1930,44,19,30,94501,1,0.6,3,1,1,0
"1157",3001,40,14,164,94720,1,4.3,2,0,0,0
"1158",1553,29,5,195,94301,1,4.3,1,0,0,0
"1159",887,54,29,74,93907,3,2,2,0,0,0
"1160",351,39,14,113,94301,1,1,3,0,1,0
"1161",1292,58,34,44,94111,4,2.2,1,0,0,0
"1162",4853,38,12,33,94708,4,1.5,3,0,0,1
"1164",4048,43,17,82,94114,1,5.2,1,0,1,0
"1165",4136,48,23,168,95929,2,2.8,1,0,1,0
"1168",1513,53,28,44,91604,3,1.7,1,0,0,0
"1169",2673,30,5,131,92068,3,0.5,3,0,0,0
"1171",3162,28,4,88,94024,1,5.4,1,0,1,0
"1172",966,62,36,135,94301,2,5.2,2,0,1,0
"1173",4055,59,34,64,94116,4,1.7,1,0,0,0
"1174",2344,58,34,55,90032,1,0.8,1,0,1,1
"1175",3319,46,20,105,90089,4,3.2,1,1,0,0
"1176",1122,30,6,49,91330,3,0.7,2,0,0,1
"1177",33,53,28,41,94801,2,0.6,3,0,0,0
"1178",3907,61,35,60,90245,1,2.5,3,0,1,0
"1179",3673,38,13,65,91320,3,0.5,3,0,1,0
"1180",3343,38,13,84,91330,3,1.2,3,0,1,1
"1181",4760,66,41,80,92093,4,0.1,2,0,1,0
"1182",4404,50,24,112,92064,1,0,1,0,0,0
"1183",75,28,3,135,94611,2,3.3,1,0,0,1
"1184",1012,52,27,39,94304,2,0.7,2,0,1,0
"1185",4971,37,13,95,95821,2,1.7,2,0,0,1
"1186",3863,60,34,64,94104,3,2.5,1,0,1,0
"1187",3481,64,39,49,94591,2,1.5,1,1,1,0
"1191",1032,56,32,25,95403,1,0.1,2,0,1,0
"1192",3993,47,22,95,93311,2,3.9,2,0,0,0
"1193",2363,40,15,31,94720,1,0.6,3,0,1,0
"1194",2543,54,30,79,92630,4,1.6,2,1,1,0
"1195",2213,46,22,83,95060,1,2.7,1,0,1,0
"1197",2642,29,5,133,90095,1,5.4,1,0,1,0
"1198",4871,55,30,28,94040,2,2,2,0,1,1
"1199",4733,39,13,69,92096,3,0.1,1,0,0,0
"1200",2984,56,32,90,95054,2,0.3,1,0,1,1
"1201",2101,31,6,145,93940,1,0.8,1,0,1,0
"1202",206,38,12,91,95616,4,1.4,2,0,0,1
"1205",1762,52,27,45,94720,2,2,2,0,0,1
"1206",2708,35,9,131,90089,3,0.3,3,0,1,1
"1207",1871,63,37,110,95032,1,4.1,3,0,0,0
"1208",4440,33,7,104,94542,2,3.6,3,0,0,1
"1209",801,31,7,173,91040,1,6,1,0,1,0
"1210",883,51,25,185,94117,1,1.7,1,0,0,0
"1212",4152,44,18,123,95841,3,5.9,1,0,1,1
"1213",540,57,32,21,94720,1,0.3,3,0,0,0
"1214",294,45,19,93,90095,4,2.6,3,0,0,0
"1216",1470,59,35,59,90005,4,1.2,2,0,1,0
"1219",4039,55,30,54,91367,3,1.7,1,0,1,0
"1220",1521,54,30,120,95039,1,7.4,1,0,1,1
"1221",980,50,26,48,94720,4,0.1,3,0,0,1
"1223",2612,33,8,78,95051,3,0.6,2,1,1,0
