Genero;Ocupación;Plan_Internacional;Min_En_Dia;Min_Internacionales;Reclamos;Llamadas_Internacionales;Desafiliado
Masculino;Proyectos personales;no;216.6;12.4;0;8;no
Masculino;Educación;no;107.8;9.9;2;3;no
Femenino;Proyectos personales;no;141.3;7.8;1;2;no
Masculino;Negocios;no;209.9;6.6;0;1;no
Masculino;Proyectos personales;si;237.5;14.2;9;3;si
Masculino;Educación;no;234.5;3.5;3;6;no
Femenino;Negocios;no;103.1;12.2;3;8;no
Femenino;Proyectos personales;no;129.5;11.9;1;3;no
Femenino;Proyectos personales;si;279.8;8.4;2;10;si
Femenino;Negocios;si;136.8;10.3;5;9;si
Masculino;Educación;no;100.1;5.9;0;3;no
Femenino;Otros;no;237.1;10.1;4;5;no
Masculino;Negocios;no;172.8;7.9;4;3;si
Masculino;Educación;no;224.5;11.5;2;2;no
Masculino;Negocios;no;288.1;10.2;3;4;si
Masculino;Otros;si;78.2;10.1;2;6;no
Femenino;Educación;no;148.7;12.7;2;6;no
Masculino;Negocios;no;194.6;13.1;2;2;no
Femenino;Otros;no;159.5;12;0;4;no
Femenino;Educación;no;194.5;9.5;1;2;no
Masculino;Educación;no;174.1;8.3;2;5;si
Femenino;Negocios;no;131.8;7.7;2;6;no
Femenino;Educación;no;160.6;10.7;1;1;no
Masculino;Proyectos personales;no;146.8;7.2;0;7;no
Masculino;Otros;no;200.7;9.1;1;5;no
Masculino;Educación;no;145.6;10.9;1;5;no
Masculino;Educación;no;229.4;8;2;1;no
Femenino;Negocios;no;211;4.7;3;4;no
Masculino;Educación;no;121.5;11.3;2;5;no
Femenino;Negocios;si;216;3.6;2;7;no
Femenino;Otros;no;293;10;2;6;no
Masculino;Educación;si;221.1;15.4;2;4;si
Masculino;Otros;no;181.5;10.3;1;2;no
Femenino;Educación;no;74.3;14.5;2;3;no
Masculino;Proyectos personales;si;62.3;10.8;1;3;no
Femenino;Otros;no;228.6;9;3;1;no
Femenino;Educación;no;228.1;9.9;2;5;si
Masculino;Educación;no;309.9;14.2;1;2;no
Masculino;Otros;no;201.9;13.7;3;6;no
Femenino;Educación;no;149.8;11.7;2;4;no
Femenino;Proyectos personales;no;183.8;7.7;1;3;no
Femenino;Negocios;no;186.7;16.5;1;4;no
Femenino;Educación;no;209.4;7.4;1;2;si
Masculino;Proyectos personales;no;223.2;10.2;3;3;no
Masculino;Otros;no;164.2;10.7;1;8;no
Masculino;Proyectos personales;no;150.5;10.3;1;2;no
Femenino;Educación;no;234.2;9.8;0;6;si
Masculino;Proyectos personales;no;55.3;10.2;1;5;no
Femenino;Proyectos personales;si;221.8;8.4;1;4;no
Femenino;Educación;no;169.6;7.4;1;8;no
Masculino;Proyectos personales;no;89.7;13.5;5;11;si
Masculino;Otros;no;80.2;8.6;1;2;no
Femenino;Educación;no;218.9;11.3;2;4;no
Masculino;Educación;no;125.7;12.9;1;2;no
Femenino;Proyectos personales;no;176.3;9.6;2;1;no
Masculino;Educación;no;207.2;9.5;2;5;no
Masculino;Negocios;no;205.7;12.5;2;6;no
Masculino;Negocios;no;151.4;0;1;0;no
Masculino;Otros;no;157.5;9.6;3;4;no
Femenino;Proyectos personales;no;160.4;9.1;2;5;no
Femenino;Proyectos personales;no;159;12.3;1;5;no
Masculino;Otros;no;214.1;9.2;0;6;no
Masculino;Otros;no;102.6;9.1;2;4;no
Femenino;Negocios;si;159.7;13.9;0;6;si
Femenino;Educación;no;202.8;4.6;1;4;no
Masculino;Negocios;no;57.5;11.6;3;6;no
Femenino;Educación;no;169.9;11.4;1;7;no
Femenino;Educación;no;335.5;12.7;2;8;si
Femenino;Educación;no;139.5;13.1;0;8;no
Masculino;Otros;no;142.3;6.6;1;8;no
Femenino;Otros;no;187.8;10.6;0;5;no
Femenino;Otros;no;146.2;8.7;3;3;no
Femenino;Otros;no;231.8;11.6;3;7;no
Femenino;Otros;no;193.7;12.7;1;3;no
Masculino;Educación;no;156.4;7.7;4;6;no
Masculino;Negocios;si;220.7;13.2;1;6;si
Masculino;Negocios;no;239.8;7.3;2;1;no
Femenino;Otros;no;172;8;1;5;no
Masculino;Proyectos personales;si;128.2;8.8;2;7;no
Masculino;Proyectos personales;no;130.2;14;3;6;no
Femenino;Negocios;no;195.4;11.6;1;6;no
Femenino;Otros;si;293.3;14.5;0;4;si
Masculino;Otros;no;191.3;12.8;1;4;no
Masculino;Proyectos personales;no;122.4;11.5;1;3;no
Masculino;Otros;no;209.6;10.6;2;3;no
Femenino;Otros;no;215.7;7.1;3;1;no
Femenino;Negocios;no;161.4;5.1;0;2;no
Masculino;Educación;no;144.2;13.8;3;4;no
Femenino;Educación;si;220.2;4.1;0;2;si
Masculino;Otros;no;256.2;7.4;4;2;no
Femenino;Educación;no;112.7;6.5;1;5;no
Femenino;Otros;no;299.5;13.7;0;4;si
Femenino;Proyectos personales;no;194.8;13.9;0;4;no
Femenino;Educación;no;100.8;9.5;0;2;no
Femenino;Proyectos personales;no;82.5;4.8;3;4;no
Femenino;Otros;no;146.4;15.6;2;4;no
Femenino;Proyectos personales;no;177.9;10.8;2;6;no
Femenino;Negocios;no;153.5;10.2;5;7;no
Masculino;Educación;no;150.7;9.2;1;15;no
Femenino;Educación;no;180.1;7.5;0;3;no
Femenino;Proyectos personales;no;265.3;12.9;1;1;no
Masculino;Proyectos personales;no;128.6;11.4;0;2;no
Masculino;Otros;no;161.5;7.9;2;4;no
Masculino;Otros;no;165.3;9.8;1;3;no
Femenino;Otros;no;195;11;0;13;no
Masculino;Educación;no;213.8;15.6;0;7;no
Masculino;Proyectos personales;no;205.5;14;1;4;no
Femenino;Proyectos personales;no;252.9;8.5;3;4;no
Femenino;Proyectos personales;no;235.6;15.4;0;9;no
Femenino;Negocios;no;192;7.5;1;5;no
Femenino;Proyectos personales;no;69.1;9.1;0;4;no
Femenino;Otros;no;261.7;6;3;3;si
Masculino;Educación;no;235.5;11.5;2;4;no
Masculino;Proyectos personales;no;213.4;9.5;1;6;no
Masculino;Negocios;no;206.9;9.2;3;1;no
Femenino;Proyectos personales;no;263.8;8.5;3;3;no
Masculino;Proyectos personales;no;183.4;10.5;1;5;no
Masculino;Negocios;no;157.6;9.4;5;10;si
Masculino;Educación;no;175.6;9.3;0;4;no
Masculino;Negocios;no;242.5;9.3;2;2;no
Femenino;Otros;no;151;9.9;0;7;no
Masculino;Otros;no;138.1;8.3;1;2;no
Masculino;Otros;no;264.7;9.5;1;9;si
Femenino;Educación;no;282.3;12;1;4;no
Masculino;Negocios;no;211.2;12.3;0;2;no
Masculino;Educación;no;197.1;7.4;3;4;no
Masculino;Educación;no;205.3;7.8;1;4;no
Masculino;Negocios;no;181.8;9.2;2;4;no
Femenino;Otros;no;252;9.6;2;1;no
Masculino;Otros;no;193.8;9.2;0;3;no
Femenino;Proyectos personales;no;231.2;12.3;1;1;no
Femenino;Negocios;no;200.1;15.5;0;4;no
Femenino;Negocios;no;266.7;16.3;1;4;no
Masculino;Educación;no;118.1;11.9;2;6;no
Masculino;Negocios;no;175.3;11.8;0;5;no
Femenino;Educación;no;125.1;11.2;3;3;no
Femenino;Otros;no;176.8;7.5;1;15;no
Femenino;Otros;no;241.9;5.9;1;3;no
Femenino;Otros;no;241.2;10.6;0;4;no
Femenino;Negocios;no;217.1;9.4;1;4;no
Femenino;Proyectos personales;no;195.4;8.9;0;4;no
Femenino;Otros;si;222.4;8.7;1;9;si
Masculino;Educación;no;189.5;13.1;1;2;no
Femenino;Educación;no;123.1;9.3;0;5;no
Masculino;Proyectos personales;no;256.7;11.4;3;3;no
Masculino;Otros;no;159.1;6.5;1;1;no
Femenino;Educación;no;100.1;11.1;3;8;no
Masculino;Otros;no;30.9;8.6;1;7;no
Masculino;Otros;no;223.2;10.1;3;2;no
Femenino;Otros;no;187.4;12.6;1;8;no
Femenino;Otros;no;315.6;12.1;3;3;no
Femenino;Negocios;no;277.5;8.2;1;2;no
Masculino;Negocios;no;189.8;14.9;2;3;no
Masculino;Negocios;no;147.2;10.2;1;4;no
Femenino;Otros;no;185.8;5.7;4;7;no
Masculino;Negocios;no;155.4;8;3;4;no
Masculino;Otros;no;154.2;10.9;6;4;no
Masculino;Negocios;no;97.6;11.6;1;9;no
Femenino;Proyectos personales;no;178.8;7.5;1;3;no
Femenino;Otros;no;149.3;9.1;0;4;no
Femenino;Educación;no;206;8.4;0;11;no
Masculino;Proyectos personales;no;216.8;11;0;9;no
Masculino;Proyectos personales;no;103.3;10.7;0;3;no
Femenino;Proyectos personales;no;139.4;7.7;0;3;no
Femenino;Otros;no;191.2;14.1;1;3;no
Masculino;Proyectos personales;no;160;10.4;1;7;no
Masculino;Negocios;no;221.7;6.5;3;4;no
Masculino;Proyectos personales;no;62.9;8.5;1;5;no
Masculino;Otros;no;215.6;3.6;1;5;no
Femenino;Otros;no;165.3;7.6;3;7;no
Femenino;Educación;si;94.7;10.6;2;6;no
Femenino;Negocios;no;203.2;9.7;2;3;no
Femenino;Otros;no;195.3;12.5;3;4;no
Masculino;Proyectos personales;no;143.7;11.4;4;8;no
Masculino;Proyectos personales;no;114.4;0;2;0;no
Femenino;Educación;no;222.8;6.9;2;2;no
Masculino;Otros;no;175.9;7.3;2;5;no
Masculino;Educación;si;249.9;15.3;1;6;si
Masculino;Otros;si;234.5;11.4;2;4;no
Femenino;Negocios;no;210.7;7.2;1;6;no
Masculino;Negocios;no;182.3;9.3;1;3;no
Masculino;Proyectos personales;no;190.3;11.7;2;5;no
Femenino;Negocios;no;177.1;7.4;0;2;no
Femenino;Otros;no;87.2;10.9;6;5;si
Femenino;Educación;no;215.6;13.5;1;3;no
Femenino;Proyectos personales;no;137.4;14;3;11;no
Masculino;Proyectos personales;no;192.8;16.4;1;5;no
Femenino;Proyectos personales;no;149.3;11.9;2;3;no
Femenino;Negocios;no;143.7;7.8;1;5;no
Masculino;Educación;no;224.8;9.2;1;2;no
Femenino;Educación;no;261.2;12.7;2;5;no
Femenino;Educación;no;196.5;13.4;0;5;no
Femenino;Educación;no;271.2;11.5;3;3;si
Femenino;Educación;no;207.2;8;2;1;no
Masculino;Otros;no;300.4;7.2;2;5;no
Femenino;Educación;no;229.6;9.5;2;8;no
Femenino;Negocios;si;187.5;12.1;1;4;no
Femenino;Otros;si;57.1;6.5;3;6;no
Femenino;Negocios;no;162.1;11;5;9;si
Masculino;Otros;si;145;16.7;2;3;si
Masculino;Negocios;no;159.5;11.4;1;3;no
Femenino;Otros;no;190.7;8.8;1;8;no
Masculino;Educación;no;230.6;9.4;1;2;no
Masculino;Educación;no;34;11.5;0;3;no
Masculino;Negocios;no;193.4;11.4;5;3;no
Masculino;Negocios;no;202;10.4;1;6;no
Femenino;Educación;no;191.7;9.1;1;5;no
Masculino;Educación;no;161.3;6.6;1;8;no
Masculino;Otros;no;150.6;6.4;1;2;no
Femenino;Proyectos personales;no;184.6;7.8;1;1;no
Femenino;Educación;no;220.7;8.7;1;5;no
Femenino;Negocios;si;167.3;11;1;6;no
Femenino;Otros;no;154;8.2;3;4;no
Femenino;Negocios;no;121.1;10.1;0;6;no
Femenino;Proyectos personales;no;182.1;12.7;3;4;no
Femenino;Otros;no;109.6;11;2;5;no
Masculino;Otros;no;209.9;9.6;1;4;no
Masculino;Negocios;no;167.5;11.4;2;4;no
Femenino;Educación;no;213.9;9.8;2;14;no
Femenino;Educación;no;115.8;13.1;1;5;no
Masculino;Negocios;no;276.6;9.8;2;6;no
Femenino;Negocios;no;179.4;9.5;2;4;no
Femenino;Educación;no;187.3;10.1;1;5;no
Femenino;Otros;no;201.2;8.4;2;3;no
Masculino;Otros;si;189.6;1.3;1;6;no
Femenino;Otros;no;186.8;15;0;5;no
Masculino;Educación;no;153.5;11.4;0;4;no
Masculino;Proyectos personales;no;187.6;8.7;2;6;no
Femenino;Educación;si;230.9;11;0;2;si
Femenino;Otros;no;244.9;15.2;2;4;no
Masculino;Educación;no;230.9;9.7;3;2;no
Femenino;Negocios;no;187.1;11;1;3;no
Masculino;Otros;no;170.7;13.3;1;4;no
Masculino;Negocios;si;126.9;8.8;5;3;si
Femenino;Negocios;no;189.5;9.2;0;7;no
Femenino;Otros;si;176.9;7.7;1;2;si
Femenino;Proyectos personales;no;161.1;10.6;1;4;no
Femenino;Negocios;no;169.4;10.7;1;4;no
Femenino;Otros;no;254.4;10.5;0;4;no
Masculino;Negocios;si;127.7;5.8;2;4;no
Masculino;Proyectos personales;no;170.5;13.6;6;5;no
Masculino;Otros;si;219.1;10.1;2;4;no
Masculino;Educación;si;273.5;11;2;9;no
Masculino;Negocios;si;161.9;10.7;1;4;no
Femenino;Otros;no;241.7;9.4;1;4;no
Masculino;Educación;si;62.8;9.4;3;4;no
Femenino;Otros;no;281.1;11.2;1;9;no
Femenino;Proyectos personales;no;228.2;10.7;3;5;no
Masculino;Proyectos personales;no;209.8;11.3;0;3;no
Femenino;Proyectos personales;no;265.6;11.1;2;6;si
Femenino;Negocios;no;214.9;11.8;2;2;no
Masculino;Educación;no;110.5;10.5;3;3;no
Masculino;Proyectos personales;si;281.1;7.5;0;3;no
Femenino;Educación;no;137.8;14.1;2;3;no
Masculino;Proyectos personales;si;271.5;8.2;1;2;si
Masculino;Otros;no;112.8;9;2;3;no
Masculino;Negocios;no;187.3;15.1;1;2;no
Femenino;Negocios;no;197;10.8;1;4;no
Masculino;Educación;no;180.4;8.4;1;2;no
Femenino;Otros;si;148.5;14.5;1;7;si
Femenino;Otros;no;197.1;14.6;2;5;no
Masculino;Proyectos personales;no;153.7;15.9;1;5;no
Femenino;Proyectos personales;no;261.3;11.3;1;2;no
Femenino;Otros;no;246.2;9.4;1;5;no
Femenino;Educación;no;191;6.5;0;4;no
Femenino;Otros;no;208.3;12.6;1;3;no
Femenino;Otros;no;253;9.8;0;4;no
Masculino;Otros;no;202.3;6.8;0;4;no
Femenino;Negocios;no;174.4;10.2;0;5;no
Masculino;Educación;no;127.1;12.1;1;3;no
Femenino;Otros;si;143.5;11.3;0;3;no
Masculino;Negocios;no;186.9;5.8;1;3;no
Masculino;Educación;no;194;12.1;1;4;no
Masculino;Negocios;no;234.8;9.9;0;6;no
Femenino;Otros;no;123.7;13.1;1;4;no
Femenino;Proyectos personales;no;173.9;15.3;0;5;no
Masculino;Negocios;no;130.9;12.4;1;4;no
Femenino;Educación;no;314.6;5.7;2;3;si
Masculino;Educación;no;227.9;12.1;1;5;no
Masculino;Otros;no;95.5;6.6;2;6;no
Femenino;Otros;no;185.3;15.1;1;3;no
Masculino;Otros;no;146.3;13.1;1;3;no
Femenino;Proyectos personales;no;184;12.7;2;3;no
Masculino;Educación;no;105.8;13.1;0;5;no
Masculino;Educación;no;178;11.7;1;4;no
Masculino;Otros;no;149.4;10.1;1;6;no
Masculino;Educación;no;209.4;11.3;2;3;no
Masculino;Negocios;no;172.1;11.6;1;6;no
Femenino;Otros;si;169.3;9.4;1;9;no
Femenino;Proyectos personales;no;119.1;12.2;0;4;no
Femenino;Proyectos personales;no;194.2;5.5;2;2;no
Femenino;Otros;no;198.8;9.9;2;3;no
Femenino;Proyectos personales;si;167.7;13.4;3;1;si
Femenino;Proyectos personales;no;202.2;11.8;2;2;no
Femenino;Negocios;no;322.5;9.4;2;4;si
Femenino;Proyectos personales;no;216.2;10.2;0;3;no
Masculino;Educación;no;76.4;9.4;3;3;no
Masculino;Educación;no;72.7;9.9;1;3;no
Masculino;Educación;no;210.4;9.7;0;4;no
Femenino;Proyectos personales;si;127.2;8.1;0;13;no
Femenino;Negocios;no;201.8;11.9;1;8;no
Masculino;Negocios;no;219.5;16.1;1;5;no
Femenino;Educación;no;99.3;9;3;6;no
Femenino;Educación;no;239.2;10.3;5;2;no
Femenino;Negocios;si;120.9;11.4;2;11;no
Masculino;Negocios;no;224.7;15.8;1;6;no
Femenino;Educación;no;176.6;14.6;1;6;no
Femenino;Otros;no;283.9;10;1;4;no
Femenino;Negocios;no;180.6;10.3;1;4;si
Femenino;Proyectos personales;no;125.9;10.3;1;4;no
Femenino;Proyectos personales;no;237.6;9.1;0;9;no
Femenino;Otros;no;198.4;9.2;2;2;no
Femenino;Proyectos personales;no;274.3;10.9;0;5;no
Femenino;Proyectos personales;si;199.6;11;3;4;si
Femenino;Educación;no;217.7;9.6;3;3;no
Femenino;Educación;no;134.7;7.6;3;6;no
Femenino;Educación;no;212.7;9.7;2;13;no
Masculino;Otros;no;256.3;6.2;2;7;no
Femenino;Negocios;no;183.6;12.7;1;2;no
Femenino;Otros;no;176.2;9.2;1;4;no
Masculino;Educación;no;205;11.7;1;8;no
Masculino;Negocios;no;267.9;11.3;3;3;si
Femenino;Proyectos personales;no;179.2;9.9;2;6;no
Masculino;Otros;no;149.4;14.9;1;3;no
Femenino;Educación;no;163.6;13.1;3;3;no
Masculino;Negocios;no;207.6;12.4;1;13;no
Masculino;Negocios;no;165.4;8.9;3;4;no
Masculino;Otros;no;209.8;9.9;4;9;no
Masculino;Negocios;no;220.1;11.1;0;3;no
Masculino;Proyectos personales;no;141.3;8.2;1;5;no
Masculino;Negocios;no;196.5;4;0;7;no
Masculino;Educación;si;180.9;7.4;2;4;no
Masculino;Otros;no;105;14.9;0;5;no
Femenino;Proyectos personales;no;271.4;11.1;4;6;si
Masculino;Otros;no;206.7;10.9;1;3;no
Masculino;Educación;no;166.8;9.3;1;1;no
Masculino;Otros;no;204.9;10.4;5;3;no
Femenino;Educación;no;154.6;9.1;1;4;no
Masculino;Proyectos personales;no;127;7.5;1;2;no
Femenino;Educación;si;267.4;5.9;1;4;no
Femenino;Otros;no;281;0;1;0;no
Femenino;Otros;no;270.8;11.8;4;8;no
Masculino;Proyectos personales;no;171.2;10.2;1;7;no
Masculino;Negocios;no;124.1;6.7;3;8;no
Femenino;Otros;no;162.8;7.2;1;3;no
Femenino;Otros;no;146.3;8;1;12;no
Femenino;Otros;no;254.8;15;2;7;no
Masculino;Otros;no;254.9;5.4;2;3;no
Masculino;Otros;no;107.7;8.9;0;3;no
Masculino;Educación;no;158.8;7.6;1;7;no
Masculino;Otros;no;182.9;5.5;2;4;no
Femenino;Educación;no;198.5;12.4;0;5;no
Femenino;Proyectos personales;no;178.4;12;0;2;no
Masculino;Proyectos personales;no;110.9;6.2;1;5;no
Femenino;Proyectos personales;no;166.9;12.3;1;4;si
Femenino;Otros;si;244.8;10.7;2;3;no
Masculino;Otros;no;120.8;11.9;4;3;si
Femenino;Educación;no;165.3;8.5;2;3;no
Femenino;Negocios;no;126.7;14.4;2;7;no
Femenino;Otros;no;215.9;15.5;0;7;no
Masculino;Negocios;no;140.1;8;1;2;no
Femenino;Educación;no;209.9;8.7;1;7;no
Masculino;Negocios;si;139.8;5.5;0;6;no
Masculino;Otros;no;321.6;11.3;2;3;si
Masculino;Otros;no;166.6;8.2;7;6;no
Masculino;Negocios;no;214.2;5.9;0;8;no
Masculino;Educación;no;260;9;1;3;si
Femenino;Negocios;no;191.9;13.4;4;4;si
Masculino;Otros;no;213;13.5;0;3;no
Masculino;Negocios;no;118.1;16.9;1;2;no
Femenino;Otros;no;190.2;15;6;4;no
Masculino;Proyectos personales;no;82.2;5.1;0;6;no
Masculino;Educación;no;163.8;8.1;0;5;no
Masculino;Educación;no;267.8;14.4;5;11;si
Masculino;Otros;no;159.8;10.6;2;3;no
Masculino;Otros;no;214.3;10.6;1;4;no
Femenino;Educación;no;287.3;10.5;0;4;si
Femenino;Negocios;no;101.2;7.5;2;3;no
Femenino;Otros;no;102.8;13.2;2;5;no
Masculino;Otros;no;109.1;8.3;0;6;no
Masculino;Proyectos personales;no;215.9;5.2;1;2;no
Masculino;Negocios;no;203.4;11;1;4;no
Femenino;Negocios;no;110.1;9.2;1;2;no
Masculino;Educación;no;111;4.4;1;14;no
Masculino;Negocios;no;239.9;9.3;1;5;no
Femenino;Negocios;no;144.8;13.8;1;3;no
Femenino;Otros;no;135.4;7.9;1;4;no
Femenino;Educación;no;84.2;10.8;1;2;no
Masculino;Educación;no;209.1;14;0;6;no
Femenino;Negocios;no;130.1;11.4;0;5;no
Femenino;Proyectos personales;no;175.8;7.8;2;5;no
Femenino;Otros;no;241.9;6.6;1;5;no
Femenino;Proyectos personales;no;136.7;9.8;0;4;no
Masculino;Otros;no;67.7;12;1;2;no
Masculino;Otros;no;200.4;10;1;2;no
Femenino;Proyectos personales;si;125.8;14.1;1;4;si
Masculino;Proyectos personales;no;128.2;11.2;1;2;no
Masculino;Otros;no;226.3;13;4;3;no
Femenino;Otros;no;162.3;9.2;0;4;no
Femenino;Educación;no;224.4;6.7;2;2;no
Masculino;Negocios;no;120.5;14.3;1;2;no
Masculino;Educación;no;91.1;11.9;2;8;no
Masculino;Educación;no;168.8;15.5;0;4;no
Femenino;Negocios;no;153.5;6.5;2;5;no
Masculino;Educación;no;226.2;6.4;0;2;no
Femenino;Otros;no;191.9;12.6;1;2;no
Masculino;Educación;no;167.9;9.2;4;6;si
Femenino;Educación;no;180;11.5;2;6;no
Femenino;Educación;no;257.4;13.4;2;5;si
Masculino;Negocios;no;174.4;11;1;4;no
Femenino;Otros;no;159.7;8.4;1;3;no
Femenino;Educación;no;237.2;11;1;3;no
Femenino;Otros;no;103;7.9;1;3;no
Femenino;Proyectos personales;no;153.8;11.6;4;2;no
Masculino;Negocios;no;205.1;10.7;3;2;no
Femenino;Educación;no;175.7;8.6;2;3;no
Femenino;Educación;no;155.9;8.6;2;8;no
Femenino;Otros;no;154.4;10.3;0;5;no
Masculino;Otros;no;209.7;7.1;2;3;no
Masculino;Educación;si;150;9.4;0;15;no
Femenino;Otros;no;232.4;12.3;3;3;no
Masculino;Otros;no;165.4;12.8;2;5;no
Femenino;Negocios;no;199.2;13.3;3;3;no
Femenino;Negocios;no;217.6;4.2;0;3;no
Femenino;Negocios;no;212.1;7.7;3;2;no
Masculino;Proyectos personales;no;154;10.8;1;5;no
Femenino;Otros;no;193.8;13.3;1;2;no
Masculino;Otros;no;175.4;12.2;0;4;no
Masculino;Educación;no;152;15.7;2;5;si
Masculino;Negocios;no;230.2;9.2;0;3;no
Masculino;Negocios;no;174.9;13.5;1;3;si
Femenino;Proyectos personales;no;190.2;8.8;0;4;no
Femenino;Educación;no;176.4;11.5;1;1;no
Femenino;Negocios;no;160.9;5;3;5;no
Masculino;Educación;no;228.7;11.8;1;3;no
Masculino;Otros;no;144;12.3;0;2;no
Femenino;Otros;no;135.9;9.5;6;7;no
Femenino;Negocios;no;334.3;10.4;0;6;si
Masculino;Proyectos personales;no;130.5;13;0;6;no
Femenino;Negocios;no;134.2;11.8;4;2;si
Masculino;Otros;no;278;13.1;4;4;si
Masculino;Negocios;no;105.4;7.8;0;5;no
Masculino;Negocios;no;188.9;11.6;3;8;no
Femenino;Educación;no;111.8;6.9;1;4;no
Masculino;Otros;no;159.1;13;1;18;no
Femenino;Proyectos personales;no;212.4;9;1;4;no
Femenino;Proyectos personales;no;142.3;9.9;1;1;no
Masculino;Negocios;si;346.8;13.3;1;9;si
Masculino;Negocios;no;113.9;11.8;1;9;no
Femenino;Educación;si;267.9;8.3;1;2;si
Masculino;Negocios;no;171.4;17;3;4;no
Masculino;Negocios;no;275.4;13.6;1;3;no
Femenino;Educación;no;197.2;3.9;0;2;no
Masculino;Proyectos personales;no;192.6;7.9;2;2;no
Femenino;Otros;no;91.7;7.7;1;5;no
Masculino;Educación;no;126.3;9.6;0;2;no
Masculino;Negocios;no;251.5;10.4;3;6;no
Masculino;Negocios;no;190.6;7.5;1;5;no
Masculino;Proyectos personales;no;116.1;11.6;0;5;no
Femenino;Proyectos personales;no;217.3;11.3;2;3;no
Masculino;Otros;no;179.4;14.7;0;3;no
Femenino;Negocios;no;207.7;7.9;0;3;no
Masculino;Otros;no;277.3;12.8;2;4;si
Masculino;Educación;no;125.3;8.4;1;4;no
Femenino;Negocios;no;138.1;6.8;2;3;no
Masculino;Otros;no;169.3;8.2;0;3;no
Masculino;Proyectos personales;no;201.3;12.3;1;3;no
Femenino;Negocios;si;216.7;9.8;2;4;no
Masculino;Educación;no;190.4;8.3;2;4;no
Femenino;Educación;no;143.3;6;1;7;no
Masculino;Otros;no;97.4;11.4;2;2;no
Masculino;Negocios;no;181.4;11.3;3;3;no
Masculino;Otros;no;246.4;3.8;0;4;no
Masculino;Proyectos personales;no;143.4;9.7;2;6;no
Masculino;Otros;no;104.9;8;2;5;no
Masculino;Proyectos personales;no;156.2;13.1;1;5;no
Femenino;Negocios;no;114.8;12;0;4;no
Masculino;Otros;no;232.5;11.9;0;2;no
Femenino;Negocios;no;143.6;8.6;1;3;no
Femenino;Otros;no;176.7;9.1;2;4;no
Femenino;Otros;no;263.4;11.4;1;5;si
Femenino;Educación;no;146.4;11.3;1;3;no
Masculino;Educación;no;145;14.2;2;3;no
Femenino;Proyectos personales;no;167.8;8.4;1;12;no
Masculino;Proyectos personales;no;166.9;7.2;0;5;no
Femenino;Educación;no;142.5;7.8;2;8;no
Masculino;Otros;si;133;11.2;1;3;no
Masculino;Proyectos personales;no;252.9;12.3;1;1;no
Femenino;Educación;no;95;10;2;2;no
Masculino;Proyectos personales;si;194.2;12.9;1;1;si
Femenino;Otros;no;222.8;0;1;0;no
Femenino;Proyectos personales;no;201.8;16.5;0;5;no
Masculino;Proyectos personales;no;216;9.3;2;4;si
Masculino;Otros;no;146.3;5.3;1;9;no
Femenino;Proyectos personales;no;234.8;9.5;1;5;no
Masculino;Negocios;no;198.6;10.6;2;6;no
Femenino;Proyectos personales;no;94.4;13.1;2;9;no
Femenino;Proyectos personales;no;190.4;10;2;1;no
Femenino;Negocios;no;142.6;12;3;2;no
Femenino;Proyectos personales;si;134.2;10.7;0;5;no
Masculino;Educación;no;111.9;14.1;5;3;si
Masculino;Educación;no;122.8;10.7;2;2;no
Masculino;Otros;no;189.3;9.2;4;5;no
Masculino;Otros;no;240.4;16.1;0;6;no
Femenino;Otros;si;93.5;9.9;0;3;no
Masculino;Educación;no;158.6;10.2;3;8;no
Masculino;Proyectos personales;si;243.2;7.2;4;4;no
Masculino;Educación;no;176.4;9.3;4;3;no
Masculino;Proyectos personales;no;220.9;6.4;0;5;no
Masculino;Otros;no;144.4;7.1;0;7;no
Masculino;Negocios;no;212.3;7.7;0;3;no
Masculino;Negocios;no;147;8.4;1;9;no
Femenino;Proyectos personales;no;96.2;12.9;2;10;no
Masculino;Proyectos personales;no;263.4;10.3;0;2;no
Femenino;Otros;si;12.5;7.7;1;9;no
Masculino;Negocios;no;162.3;10.1;2;3;no
Femenino;Educación;no;183.6;8.7;1;3;no
Femenino;Otros;no;178.1;8.5;1;2;no
Femenino;Proyectos personales;no;201.4;7;0;3;no
Masculino;Otros;no;123;13.3;1;4;no
Femenino;Proyectos personales;no;208;8.6;0;6;no
Femenino;Educación;no;239.2;8.8;1;3;no
Femenino;Otros;no;193;15.3;1;3;no
Femenino;Proyectos personales;no;174.5;10.3;1;9;no
Femenino;Otros;no;116.7;9.9;1;3;no
Masculino;Proyectos personales;no;93.8;10.7;1;2;no
Masculino;Negocios;si;154.1;12.9;2;3;no
Masculino;Otros;no;239.5;9.9;0;6;no
Masculino;Negocios;no;216;11.8;0;4;no
Masculino;Negocios;no;187.4;12.2;1;6;no
Masculino;Otros;no;167.4;10.3;0;5;no
Masculino;Proyectos personales;no;160.4;12.5;1;4;no
Femenino;Negocios;no;143.2;11.9;1;9;no
Femenino;Educación;no;205.3;5;1;9;no
Masculino;Negocios;no;219.1;14.3;1;6;no
Masculino;Otros;no;143.2;7.6;1;4;no
Femenino;Proyectos personales;no;232.8;12.5;2;7;no
Femenino;Educación;no;162;8.9;0;8;no
Masculino;Educación;no;25.9;6.5;1;7;no
Femenino;Educación;no;154.2;15.4;4;4;si
Masculino;Negocios;no;322.3;6.7;0;8;si
Femenino;Otros;no;209.9;8.2;1;3;no
